,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Glyma.02G250700.Wm82.a4.v1,7.816365901200193,-2.2034075988001653,0.09234411352256078,-23.86083438076263,7.816481604596296e-126,1.4090771388605744e-121
Glyma.11G232500.Wm82.a4.v1,30.47937823327315,1.686120736546047,0.07716880562501058,21.84977106862947,7.812354705181683e-106,7.04166591351551e-102
Glyma.17G202700.Wm82.a4.v1,57.64255840772093,1.584543777737851,0.07272970441990202,21.786748487104408,3.0988804346995503e-105,1.8621172532109597e-101
Glyma.19G219100.Wm82.a4.v1,8.87088302184941,3.7109699446250644,0.1883646919455945,19.70098486236957,2.1146634354961265e-86,9.530259437922168e-83
Glyma.14G130700.Wm82.a4.v1,61.65201811650577,0.9043961747525119,0.04672171397733634,19.357084699230303,1.7765932109263252e-83,6.405329162673773e-80
Glyma.06G117800.Wm82.a4.v1,6.753021866794529,1.7178008550672068,0.09244566860531313,18.58173434172642,4.516695508546814e-77,1.3570411655428903e-73
Glyma.11G223000.Wm82.a4.v1,3.3298372539708745,-1.7583219783892103,0.096085148648549,-18.299622814974573,8.33237376734807e-75,2.1458243129140523e-71
Glyma.07G151800.Wm82.a4.v1,8.477023142846615,3.6725849086921976,0.20128683455882473,18.24552965295358,2.2454986031516926e-74,5.0599504148769456e-71
Glyma.03G025600.Wm82.a4.v1,13.724713179695351,1.7643944220139547,0.10314705399141688,17.10562108890453,1.3475757753701497e-65,2.69919427806641e-62
Glyma.14G066000.Wm82.a4.v1,10.098933237416198,-1.2785705528395468,0.07507101183031384,-17.031481548824114,4.797409678047369e-65,8.648290426615993e-62
Glyma.16G178800.Wm82.a4.v1,8.344429496635218,3.4412734234559244,0.2025068041163305,16.993371844824914,9.194813354236964e-65,1.506862730334816e-61
Glyma.18G034600.Wm82.a4.v1,10.591065911183343,-1.4284370090697098,0.08629791232582713,-16.55239356980608,1.5386185960503427e-61,2.3113897859166274e-58
Glyma.14G096800.Wm82.a4.v1,1.4549623278800046,3.0480376037736665,0.1846472453468463,16.507354864938016,3.248113035351172e-61,4.504133360636583e-58
Glyma.07G136500.Wm82.a4.v1,24.711242773964084,-0.7911410296069208,0.04806408191065065,-16.460129854922073,7.094808771708279e-61,9.135579837684653e-58
Glyma.19G260900.Wm82.a4.v1,25.23605938921629,-0.7947709731801734,0.04860377571082779,-16.352041823020695,4.2064541015103095e-60,5.05531653919509e-57
Glyma.14G124550.Wm82.a4.v1,6.702488814077413,-1.2014173278592888,0.07353780469350298,-16.337410844213483,5.347600478953294e-60,6.025074614630689e-57
Glyma.08G264900.Wm82.a4.v1,26.268120125852246,-1.1428525352863088,0.07037261686680299,-16.240017583109502,2.6284881003894566e-59,2.7872797050423966e-56
Glyma.11G037100.Wm82.a4.v1,6.180982239045658,-1.572532340441631,0.09918484504924226,-15.854562656834483,1.3073452809789048e-56,1.3093062989003732e-53
Glyma.13G136300.Wm82.a4.v1,2.639757033764103,-1.5917512233460005,0.10206890688037755,-15.594868917441204,7.88851680629004e-55,7.484541708788976e-52
Glyma.08G062300.Wm82.a4.v1,2.73011262703315,2.4899098672027633,0.160420963902583,15.521100276612115,2.4973185177052377e-54,2.2509580459336162e-51
Glyma.14G132500.Wm82.a4.v1,2.334880647640021,-1.906796375691025,0.12498329947629691,-15.256409325732747,1.492376650597195e-52,1.2810987562055063e-49
Glyma.07G000500.Wm82.a4.v1,15.256692999924393,-0.790879422603389,0.05191210525827227,-15.234971085619014,2.072187930690827e-52,1.6979696284801606e-49
Glyma.16G014900.Wm82.a4.v1,1.8922157734225786,2.211848113301907,0.14560172600923044,15.191084432348601,4.0516098521295115e-52,3.1755813393190737e-49
Glyma.06G134900.Wm82.a4.v1,20.97407631649748,3.938254585290676,0.26006975326261245,15.14307041047529,8.41895252212942e-52,6.32368571318446e-49
Glyma.20G166400.Wm82.a4.v1,5.464707700340414,-1.6876818820640107,0.11477472164358803,-14.704299499891615,6.049367240856733e-49,4.3620777300369735e-46
Glyma.14G106500.Wm82.a4.v1,7.577425114608248,-0.9709843619143291,0.06606343275368826,-14.697758221776933,6.662921985476861e-49,4.61971133200736e-46
Glyma.02G244300.Wm82.a4.v1,3.8566029748475392,3.1308695823741686,0.21325910907668494,14.681059092525574,8.524846118132124e-49,5.691755591539548e-46
Glyma.20G204500.Wm82.a4.v1,51.01353929243698,4.360874076946471,0.29818987421741266,14.62448746253175,1.9604162276916438e-48,1.262157976307045e-45
Glyma.08G279800.Wm82.a4.v1,6.309746459600549,-1.058045722878866,0.07266049368453972,-14.561499230550796,4.9363213356716804e-48,3.068519473039772e-45
Glyma.18G146600.Wm82.a4.v1,5.4941828433643485,-1.1382097268071327,0.0784709633234287,-14.504852223055389,1.1288031578267888e-47,6.782978175381174e-45
Glyma.16G101000.Wm82.a4.v1,3.8744084682297744,1.9784679528979976,0.1369356254591153,14.448160924263687,2.5746908326957036e-47,1.4972242464840467e-44
Glyma.17G072400.Wm82.a4.v1,13.983291199104862,4.003773800574286,0.27737092798142754,14.434727639669482,3.1287919422314154e-47,1.7181760011824206e-44
Glyma.01G141900.Wm82.a4.v1,6.082015292772787,1.5651520179961693,0.10843233987831832,14.434365427810256,3.1452714283585667e-47,1.7181760011824206e-44
Glyma.18G226850.Wm82.a4.v1,8.254767876703005,-1.4058762748163625,0.0994168668023742,-14.141224925253713,2.1156936725038588e-45,1.121753230418443e-42
Glyma.02G124500.Wm82.a4.v1,6.650340942666052,1.6028312048912479,0.11372881452232278,14.093448627099185,4.1670482007979425e-45,2.1462679404509858e-42
Glyma.14G113900.Wm82.a4.v1,6.059485769874188,2.8058422740649016,0.20034239001066423,14.00523510733573,1.4479974203305944e-44,7.250847082305451e-42
Glyma.18G289000.Wm82.a4.v1,1.6585964822875117,-1.8616484651987166,0.13389382410580938,-13.90391586491362,5.996862883418082e-44,2.921768843226426e-41
Glyma.08G157400.Wm82.a4.v1,2.5144053108631486,-1.5159254446381076,0.10951261350448704,-13.84247344782796,1.4126084981473717e-43,6.70134036739544e-41
Glyma.09G004400.Wm82.a4.v1,8.183464999190758,-1.7760602673813979,0.13022335252887204,-13.638569679640407,2.361468533296547e-42,1.0915434166599193e-39
Glyma.15G112500.Wm82.a4.v1,9.527301757107344,2.493187610063148,0.1831854981721204,13.610180035761116,3.483845478141508e-42,1.570082060861424e-39
Glyma.08G220900.Wm82.a4.v1,3.1413784222202943,2.5644809395504873,0.18897101154954457,13.57076367704223,5.969680020076697e-42,2.6247663834615274e-39
Glyma.05G149900.Wm82.a4.v1,7.901586251747463,1.6298317711794745,0.12123262443642818,13.443838065504586,3.3462062585687955e-41,1.436239529124278e-38
Glyma.04G165900.Wm82.a4.v1,3.0464390856993204,-1.316208663366699,0.0982184214361355,-13.400833001806452,5.978830701002951e-41,2.5065204894646554e-38
Glyma.09G072100.Wm82.a4.v1,4.809500762850961,2.4342516101418985,0.18236233101126492,13.34843438687746,1.2096454986237938e-40,4.955972591747985e-38
Glyma.05G022200.Wm82.a4.v1,5.790225125776316,2.6287407832604757,0.19818663453039803,13.263966006028914,3.745513899786247e-40,1.5004528682543704e-37
Glyma.10G271600.Wm82.a4.v1,6.342519764409046,-1.2673027717399374,0.09584636341389424,-13.222231147856203,6.529785934629589e-40,2.558966327034078e-37
Glyma.01G241400.Wm82.a4.v1,3.8880118635349126,2.1307093946902698,0.1625667529944969,13.106673753657349,3.015357602915084e-39,1.156550032079792e-36
Glyma.15G068200.Wm82.a4.v1,2.4798068887043514,1.550826780714992,0.11838117966812892,13.10028152331812,3.280386273712836e-39,1.231990069921277e-36
Glyma.20G017200.Wm82.a4.v1,4.581021137164307,1.4565004154425363,0.11132038585057705,13.08386064523317,4.0722045879798635e-39,1.4981557572961837e-36
Glyma.03G068100.Wm82.a4.v1,12.071459860721548,2.033320725689158,0.15623609651197432,13.01441069691164,1.0132091540515338e-38,3.6530242840174e-36
Glyma.07G065600.Wm82.a4.v1,11.006242369046916,-1.3559123800699964,0.10460593774757887,-12.962097652065447,2.0068355466286362e-38,7.093573411583221e-36
Glyma.20G196900.Wm82.a4.v1,5.818666501010773,-1.4589826293360781,0.11401345551030495,-12.796582848979698,1.7132572373967715e-37,5.939401580490692e-35
Glyma.07G061500.Wm82.a4.v1,3.6192385396397326,3.0919788465740683,0.24375320598159222,12.68487458092169,7.1728576532098136e-37,2.4397189606493077e-34
Glyma.02G226100.Wm82.a4.v1,5.451699320735409,1.3526130333053001,0.10686110498384553,12.657674029384014,1.0146110916461661e-36,3.387110027612118e-34
Glyma.01G241500.Wm82.a4.v1,3.012431876628549,2.4746853990522064,0.19683555696017827,12.572349413235633,2.996837963508137e-36,9.822545085120215e-34
