,conservation_score
Glyma.16G206200.Wm82.a4.v1,0.9969940811035563
Glyma.09G102400.Wm82.a4.v1,0.9969720686787653
Glyma.13G176000.Wm82.a4.v1,0.9969402729540674
Glyma.07G035600.Wm82.a4.v1,0.9969329354791371
Glyma.03G262300.Wm82.a4.v1,0.9969304896541603
Glyma.08G204800.Wm82.a4.v1,0.996913368879323
Glyma.03G190100.Wm82.a4.v1,0.9968913564545321
Glyma.15G174200.Wm82.a4.v1,0.9968889106295553
Glyma.15G101800.Wm82.a4.v1,0.9968889106295553
Glyma.08G163500.Wm82.a4.v1,0.9968448857799735
Glyma.06G054700.Wm82.a4.v1,0.9968424399549968
Glyma.03G121600.Wm82.a4.v1,0.99683999413002
Glyma.06G119500.Wm82.a4.v1,0.9968351024800666
Glyma.15G264600.Wm82.a4.v1,0.9968326566550898
Glyma.10G249000.Wm82.a4.v1,0.9968253191801595
Glyma.10G026600.Wm82.a4.v1,0.9968106442302989
Glyma.16G143600.Wm82.a4.v1,0.9967617277307635
Glyma.05G051300.Wm82.a4.v1,0.99675683608081
Glyma.11G096600.Wm82.a4.v1,0.9967079195812748
Glyma.03G171100.Wm82.a4.v1,0.9966981362813677
Glyma.07G163600.Wm82.a4.v1,0.9966859071564839
Glyma.15G107900.Wm82.a4.v1,0.9965954116323436
Glyma.05G199300.Wm82.a4.v1,0.99659051998239
Glyma.07G027200.Wm82.a4.v1,0.9965636159076456
Glyma.01G040200.Wm82.a4.v1,0.9965367118329013
Glyma.08G320900.Wm82.a4.v1,0.9964829036834124
Glyma.13G065300.Wm82.a4.v1,0.9964682287335518
Glyma.18G030400.Wm82.a4.v1,0.9963972998092256
Glyma.01G115900.Wm82.a4.v1,0.9963703957344813
Glyma.03G215100.Wm82.a4.v1,0.9962847918602945
Glyma.13G138600.Wm82.a4.v1,0.9962823460353177
Glyma.06G193600.Wm82.a4.v1,0.9962432128356895
Glyma.10G042100.Wm82.a4.v1,0.9962334295357824
Glyma.20G008600.Wm82.a4.v1,0.9961453798366189
Glyma.09G160000.Wm82.a4.v1,0.9961453798366189
Glyma.17G214400.Wm82.a4.v1,0.9960230885877807
Glyma.07G059600.Wm82.a4.v1,0.995988847038106
Glyma.05G128000.Wm82.a4.v1,0.9959790637381989
Glyma.02G069100.Wm82.a4.v1,0.9959741720882453
Glyma.05G075100.Wm82.a4.v1,0.9959643887883383
Glyma.11G150300.Wm82.a4.v1,0.9959497138384777
Glyma.03G119500.Wm82.a4.v1,0.9959448221885242
Glyma.12G122700.Wm82.a4.v1,0.9959203639387565
Glyma.10G089300.Wm82.a4.v1,0.9959105806388495
Glyma.17G214100.Wm82.a4.v1,0.9958910140390353
Glyma.08G180000.Wm82.a4.v1,0.9958420975395
Glyma.07G047600.Wm82.a4.v1,0.9958078559898254
Glyma.11G150400.Wm82.a4.v1,0.9957980726899183
Glyma.03G086200.Wm82.a4.v1,0.9957564936653133
Glyma.09G210900.Wm82.a4.v1,0.9957295895905689
Glyma.04G215800.Wm82.a4.v1,0.9957198062906618
Glyma.04G221700.Wm82.a4.v1,0.99567578144108
Glyma.17G214900.Wm82.a4.v1,0.9956464315413589
Glyma.11G103700.Wm82.a4.v1,0.9956072983417307
Glyma.08G126800.Wm82.a4.v1,0.9955975150418236
Glyma.19G030800.Wm82.a4.v1,0.9955828400919631
Glyma.08G332900.Wm82.a4.v1,0.9955779484420095
Glyma.10G178400.Wm82.a4.v1,0.995573056792056
Glyma.15G077700.Wm82.a4.v1,0.99550946534266
Glyma.11G140500.Wm82.a4.v1,0.9954923445678228
Glyma.12G037400.Wm82.a4.v1,0.9954850070928924
Glyma.12G040200.Wm82.a4.v1,0.9954458738932642
Glyma.07G032500.Wm82.a4.v1,0.9953871740938218
Glyma.05G172300.Wm82.a4.v1,0.9953186909944725
Glyma.08G348500.Wm82.a4.v1,0.9952550995450765
Glyma.08G106700.Wm82.a4.v1,0.9952306412953089
Glyma.17G142700.Wm82.a4.v1,0.9952110746954947
Glyma.19G106800.Wm82.a4.v1,0.995208628870518
Glyma.01G152900.Wm82.a4.v1,0.9951621581959595
Glyma.11G111100.Wm82.a4.v1,0.9951230249963313
Glyma.20G021500.Wm82.a4.v1,0.995074108496796
Glyma.01G198500.Wm82.a4.v1,0.9950594335469354
Glyma.04G229800.Wm82.a4.v1,0.9950349752971678
Glyma.04G062200.Wm82.a4.v1,0.9949762754977254
Glyma.15G043200.Wm82.a4.v1,0.9949518172479578
Glyma.15G090300.Wm82.a4.v1,0.9949420339480507
Glyma.07G200200.Wm82.a4.v1,0.9949273589981901
Glyma.08G332000.Wm82.a4.v1,0.9949224673482365
Glyma.06G202200.Wm82.a4.v1,0.994917575698283
Glyma.08G173700.Wm82.a4.v1,0.9949126840483296
Glyma.04G054400.Wm82.a4.v1,0.9949102382233528
Glyma.16G175000.Wm82.a4.v1,0.994907792398376
Glyma.03G230000.Wm82.a4.v1,0.9948980090984689
Glyma.19G227700.Wm82.a4.v1,0.9948882257985618
Glyma.07G258500.Wm82.a4.v1,0.994866213373771
Glyma.12G052500.Wm82.a4.v1,0.9948490925989336
Glyma.08G243600.Wm82.a4.v1,0.9947806094995842
Glyma.03G174100.Wm82.a4.v1,0.9947708261996772
Glyma.17G133200.Wm82.a4.v1,0.9947561512498165
Glyma.11G221000.Wm82.a4.v1,0.9947463679499094
Glyma.06G015900.Wm82.a4.v1,0.9946754390255833
Glyma.07G061500.Wm82.a4.v1,0.994616739226141
Glyma.19G011400.Wm82.a4.v1,0.9945922809763733
Glyma.02G047600.Wm82.a4.v1,0.9945507019517683
Glyma.15G015100.Wm82.a4.v1,0.9945311353519543
Glyma.04G066000.Wm82.a4.v1,0.9944675439025583
Glyma.09G087700.Wm82.a4.v1,0.9944161815780462
Glyma.06G055500.Wm82.a4.v1,0.9943452526537201
Glyma.01G022100.Wm82.a4.v1,0.9943403610037665
Glyma.20G158500.Wm82.a4.v1,0.9943207944039525
Glyma.16G044900.Wm82.a4.v1,0.994315902753999
Glyma.06G176900.Wm82.a4.v1,0.9941936115051607
Glyma.05G007100.Wm82.a4.v1,0.994191165680184
Glyma.11G182100.Wm82.a4.v1,0.9941349117057183
Glyma.14G066400.Wm82.a4.v1,0.9941055618059972
Glyma.08G230400.Wm82.a4.v1,0.994076211906276
Glyma.04G055300.Wm82.a4.v1,0.9940615369564154
Glyma.05G022900.Wm82.a4.v1,0.9940517536565083
Glyma.08G042300.Wm82.a4.v1,0.9940419703566012
Glyma.10G274400.Wm82.a4.v1,0.9940126204568801
Glyma.04G219100.Wm82.a4.v1,0.9939685956072983
Glyma.16G145800.Wm82.a4.v1,0.9939221249327398
Glyma.17G023100.Wm82.a4.v1,0.9938756542581813
Glyma.13G299200.Wm82.a4.v1,0.9938560876583672
Glyma.12G199400.Wm82.a4.v1,0.9937973878589248
Glyma.09G247900.Wm82.a4.v1,0.9937729296091572
Glyma.05G050100.Wm82.a4.v1,0.9937607004842733
Glyma.19G190400.Wm82.a4.v1,0.9937435797094359
Glyma.18G284900.Wm82.a4.v1,0.9937264589345987
Glyma.17G243700.Wm82.a4.v1,0.993670204960133
Glyma.04G020300.Wm82.a4.v1,0.9936139509856675
Glyma.16G029300.Wm82.a4.v1,0.9936017218607837
Glyma.08G154300.Wm82.a4.v1,0.9935625886611554
Glyma.13G176200.Wm82.a4.v1,0.993545467886318
Glyma.01G193600.Wm82.a4.v1,0.9935185638115737
Glyma.12G202500.Wm82.a4.v1,0.9934305141124101
Glyma.03G114600.Wm82.a4.v1,0.993410947512596
Glyma.08G068700.Wm82.a4.v1,0.9933644768380375
Glyma.13G357300.Wm82.a4.v1,0.9933522477131537
Glyma.11G127800.Wm82.a4.v1,0.9933473560632001
Glyma.16G209400.Wm82.a4.v1,0.993254414714083
Glyma.01G231900.Wm82.a4.v1,0.9931810399647801
Glyma.14G011600.Wm82.a4.v1,0.9931761483148266
Glyma.08G354700.Wm82.a4.v1,0.993171256664873
Glyma.16G017600.Wm82.a4.v1,0.993171256664873
Glyma.10G174700.Wm82.a4.v1,0.9930587487159419
Glyma.15G124700.Wm82.a4.v1,0.9930293988162208
Glyma.10G263000.Wm82.a4.v1,0.9930147238663601
Glyma.14G031800.Wm82.a4.v1,0.9929560240669177
Glyma.15G275700.Wm82.a4.v1,0.9929511324169642
Glyma.13G302900.Wm82.a4.v1,0.992943794942034
Glyma.20G018500.Wm82.a4.v1,0.9929095533923592
Glyma.01G238600.Wm82.a4.v1,0.9928973242674755
Glyma.03G259400.Wm82.a4.v1,0.9928924326175219
Glyma.12G215500.Wm82.a4.v1,0.9928043829183584
Glyma.01G229800.Wm82.a4.v1,0.9927970454434281
Glyma.11G060100.Wm82.a4.v1,0.9927945996184513
Glyma.03G105000.Wm82.a4.v1,0.9927799246685907
Glyma.17G100700.Wm82.a4.v1,0.9926772000195666
Glyma.05G038800.Wm82.a4.v1,0.9926723083696131
Glyma.13G129500.Wm82.a4.v1,0.9926282835200313
Glyma.15G016300.Wm82.a4.v1,0.9926038252702637
Glyma.19G216300.Wm82.a4.v1,0.9925451254708213
Glyma.07G220200.Wm82.a4.v1,0.9924521841217042
Glyma.10G000600.Wm82.a4.v1,0.9924228342219831
Glyma.08G343800.Wm82.a4.v1,0.9923934843222619
Glyma.13G176300.Wm82.a4.v1,0.9923641344225407
Glyma.07G266500.Wm82.a4.v1,0.9923592427725872
