cluster,gene,wilcoxon_score,log2FC,pvals,pvals_adj,pct_in,pct_out,n_cells_in_cluster
14,Glyma.01G133900,0.12788741,4.4567566,0.8982380714590043,1.0,0.0016227180527383367,7.142346975216056e-05,2465
17,Glyma.02G086500,0.10107745,4.715682,0.9194889779265025,1.0,0.0018975332068311196,6.799714411994697e-05,1054
6,Glyma.04G042000,0.087978095,2.4999237,0.9298940889848258,1.0,0.0019550342130987292,0.00033962776796630893,1023
9,Glyma.14G224000,0.07774226,4.136278,0.9380330726699615,1.0,0.0012004801920768306,6.944203326273393e-05,1666
6,Glyma.10G263500,0.05138745,5.2944613,0.9590167849722588,1.0,0.0009775171065493646,3.396277679663089e-05,1023
17,Glyma.03G123900,0.048662104,3.5067358,0.9611885780164567,1.0,0.0009487666034155598,6.799714411994697e-05,1054
6,Glyma.06G000600,0.04768825,3.3652854,0.961964700246577,1.0,0.0009775171065493646,0.00010188833038989267,1023
8,Glyma.01G035600,0.045960385,1.9469944,0.9633418254950172,1.0,0.0005964807634953773,0.00011064394777605666,3353
9,Glyma.19G127200,0.038872566,4.3234854,0.9689919897088628,1.0,0.0006002400960384153,3.472101663136697e-05,1666
9,Glyma.14G037100,0.036484573,3.1674795,0.9708959796586654,1.0,0.0006002400960384153,6.944203326273393e-05,1666
5,Glyma.06G157950,0.0,0.0,1.0,1.0,0.0,0.0,622
