variant,description,n_clusters,purity_rep_block,purity_libraries,purity_treatment,purity_celltype_call,sil_rep_block,sil_celltype,ARI_vs_cluster_annot,ARI_vs_celltype_call,ARI_vs_baseline_leiden,max_PC_R2_cc_score,cc_score_eta2_by_cluster
base,baseline (Harmony rep_block),20.0,0.5749586984825111,0.41155348409754816,0.6224910011925471,0.8641929519370686,-0.0475330650806427,0.13718250393867493,0.40466002182228095,0.19618689442210624,1.0,0.03985117506854832,0.0835471199844299
regress,regress_out cc_score,16.0,0.5633297228695529,0.3999781184013304,0.6139943764291419,0.8623658384481571,-0.047451987862586975,0.1304914504289627,0.4297364699146381,0.22322245878229763,0.7177722298175568,0.0001412101160446626,0.04099815972744741
drop,cc genes dropped from HVGs,18.0,0.5717169396396101,0.4117996520825812,0.6346013719762366,0.868693996783405,-0.042756564915180206,0.13345980644226074,0.4275406190773757,0.2019614251743083,0.7284689644784312,0.03919161663879656,0.0864474573318142
random_null,,,0.38210035679757587,0.10432696109715447,0.27086235953844806,0.4115192745554314,,,,,,,
