,highly_variable,in_integrated
Glyma.13G117500.Wm82.a4.v1,False,False
Glyma.09G064400.Wm82.a4.v1,False,False
Glyma.13G170000.Wm82.a4.v1,False,False
Glyma.19G075000.Wm82.a4.v1,False,False
Glyma.09G188100.Wm82.a4.v1,False,False
Glyma.08G124800.Wm82.a4.v1,False,False
Glyma.11G256800.Wm82.a4.v1,False,False
Glyma.04G002800.Wm82.a4.v1,False,False
Glyma.01G030400.Wm82.a4.v1,False,False
Glyma.09G275900.Wm82.a4.v1,False,False
Glyma.07G066600.Wm82.a4.v1,False,False
Glyma.10G147700.Wm82.a4.v1,False,False
Glyma.04G090400.Wm82.a4.v1,False,False
Glyma.08G365200.Wm82.a4.v1,False,False
Glyma.01G242800.Wm82.a4.v1,False,False
Glyma.04G148300.Wm82.a4.v1,False,False
Glyma.14G145920.Wm82.a4.v1,False,False
Glyma.15G209800.Wm82.a4.v1,False,False
Glyma.02G307500.Wm82.a4.v1,False,False
Glyma.12G017700.Wm82.a4.v1,False,False
Glyma.18G038700.Wm82.a4.v1,False,False
Glyma.07G040600.Wm82.a4.v1,False,False
Glyma.06G082100.Wm82.a4.v1,False,False
Glyma.08G086000.Wm82.a4.v1,False,False
Glyma.04G078900.Wm82.a4.v1,False,False
Glyma.17G198300.Wm82.a4.v1,False,False
Glyma.08G180900.Wm82.a4.v1,False,False
Glyma.13G091200.Wm82.a4.v1,True,True
Glyma.15G152000.Wm82.a4.v1,False,False
Glyma.05G068000.Wm82.a4.v1,False,False
Glyma.06G027600.Wm82.a4.v1,False,False
Glyma.10G295500.Wm82.a4.v1,False,False
Glyma.20G050900.Wm82.a4.v1,False,False
Glyma.15G106600.Wm82.a4.v1,False,False
Glyma.18G057000.Wm82.a4.v1,False,False
Glyma.13G335700.Wm82.a4.v1,False,False
Glyma.08G137700.Wm82.a4.v1,False,False
Glyma.17G127200.Wm82.a4.v1,False,False
Glyma.13G215400.Wm82.a4.v1,False,False
Glyma.08G262900.Wm82.a4.v1,False,False
Glyma.02G123000.Wm82.a4.v1,False,True
Glyma.11G104800.Wm82.a4.v1,True,True
Glyma.01G150300.Wm82.a4.v1,False,False
Glyma.07G244800.Wm82.a4.v1,False,False
Glyma.09G018000.Wm82.a4.v1,False,False
Glyma.10G053100.Wm82.a4.v1,False,False
Glyma.03G233500.Wm82.a4.v1,False,False
Glyma.04G093100.Wm82.a4.v1,False,False
Glyma.20G134600.Wm82.a4.v1,False,False
Glyma.03G032900.Wm82.a4.v1,False,False
Glyma.19G228700.Wm82.a4.v1,False,False
Glyma.18G234800.Wm82.a4.v1,False,False
Glyma.14G080800.Wm82.a4.v1,False,True
Glyma.07G012800.Wm82.a4.v1,False,False
Glyma.15G049600.Wm82.a4.v1,False,False
Glyma.11G151915.Wm82.a4.v1,False,False
Glyma.15G136532.Wm82.a4.v1,False,False
Glyma.09G179300.Wm82.a4.v1,False,False
Glyma.12G015700.Wm82.a4.v1,False,False
Glyma.10G267400.Wm82.a4.v1,False,False
Glyma.13G342900.Wm82.a4.v1,False,False
Glyma.02G305400.Wm82.a4.v1,False,False
Glyma.01G170900.Wm82.a4.v1,False,False
Glyma.02G151400.Wm82.a4.v1,False,False
Glyma.17G248400.Wm82.a4.v1,False,False
Glyma.10G067100.Wm82.a4.v1,False,False
Glyma.19G105900.Wm82.a4.v1,False,False
Glyma.06G236300.Wm82.a4.v1,False,False
Glyma.06G117500.Wm82.a4.v1,False,False
Glyma.07G254502.Wm82.a4.v1,False,False
Glyma.20G220200.Wm82.a4.v1,False,False
Glyma.07G058400.Wm82.a4.v1,False,False
Glyma.06G321400.Wm82.a4.v1,False,False
Glyma.06G227700.Wm82.a4.v1,False,False
Glyma.01G154100.Wm82.a4.v1,False,False
Glyma.08G199900.Wm82.a4.v1,False,False
Glyma.06G179400.Wm82.a4.v1,True,True
Glyma.02G119600.Wm82.a4.v1,True,True
Glyma.10G150800.Wm82.a4.v1,False,False
Glyma.18G238000.Wm82.a4.v1,False,False
Glyma.14G092800.Wm82.a4.v1,True,True
Glyma.02G212100.Wm82.a4.v1,False,False
Glyma.06G274200.Wm82.a4.v1,False,False
Glyma.08G055000.Wm82.a4.v1,False,False
Glyma.05G077800.Wm82.a4.v1,False,False
Glyma.03G259400.Wm82.a4.v1,False,False
Glyma.17G218700.Wm82.a4.v1,False,False
Glyma.12G145300.Wm82.a4.v1,False,False
Glyma.08G219500.Wm82.a4.v1,False,False
Glyma.14G116100.Wm82.a4.v1,False,False
Glyma.10G152000.Wm82.a4.v1,False,False
Glyma.04G194200.Wm82.a4.v1,False,False
Glyma.07G112600.Wm82.a4.v1,False,False
Glyma.19G205700.Wm82.a4.v1,False,False
Glyma.07G058700.Wm82.a4.v1,False,False
Glyma.16G024500.Wm82.a4.v1,False,False
Glyma.04G016200.Wm82.a4.v1,False,False
Glyma.18G132200.Wm82.a4.v1,False,False
Glyma.08G031500.Wm82.a4.v1,False,False
Glyma.12G168800.Wm82.a4.v1,False,False
Glyma.03G043675.Wm82.a4.v1,False,False
Glyma.17G028100.Wm82.a4.v1,False,False
Glyma.20G159000.Wm82.a4.v1,False,False
Glyma.01G238400.Wm82.a4.v1,False,False
Glyma.13G116700.Wm82.a4.v1,False,False
Glyma.17G021400.Wm82.a4.v1,False,False
Glyma.15G001300.Wm82.a4.v1,False,False
Glyma.15G120100.Wm82.a4.v1,False,False
Glyma.20G024400.Wm82.a4.v1,False,False
Glyma.17G053100.Wm82.a4.v1,False,False
Glyma.02G145600.Wm82.a4.v1,False,False
Glyma.03G163000.Wm82.a4.v1,False,False
Glyma.15G054800.Wm82.a4.v1,False,False
Glyma.13G167300.Wm82.a4.v1,False,False
Glyma.04G003700.Wm82.a4.v1,False,False
Glyma.04G202600.Wm82.a4.v1,False,False
Glyma.20G198500.Wm82.a4.v1,False,False
Glyma.17G104800.Wm82.a4.v1,False,False
Glyma.06G290800.Wm82.a4.v1,False,False
Glyma.05G168200.Wm82.a4.v1,False,False
Glyma.06G107300.Wm82.a4.v1,False,False
Glyma.01G159500.Wm82.a4.v1,False,False
Glyma.17G231100.Wm82.a4.v1,False,False
Glyma.20G214900.Wm82.a4.v1,False,False
Glyma.06G224200.Wm82.a4.v1,False,False
Glyma.08G332900.Wm82.a4.v1,False,False
Glyma.03G214251.Wm82.a4.v1,False,True
Glyma.07G167700.Wm82.a4.v1,False,False
Glyma.14G142300.Wm82.a4.v1,False,False
Glyma.01G036500.Wm82.a4.v1,False,False
Glyma.13G372300.Wm82.a4.v1,False,False
Glyma.03G113500.Wm82.a4.v1,False,False
Glyma.07G127200.Wm82.a4.v1,False,False
Glyma.15G208700.Wm82.a4.v1,False,False
Glyma.06G184500.Wm82.a4.v1,False,False
Glyma.15G093200.Wm82.a4.v1,False,False
Glyma.20G135800.Wm82.a4.v1,False,False
Glyma.06G148000.Wm82.a4.v1,False,False
Glyma.14G069900.Wm82.a4.v1,False,False
Glyma.01G203500.Wm82.a4.v1,False,False
Glyma.06G097100.Wm82.a4.v1,False,False
Glyma.02G260600.Wm82.a4.v1,False,True
Glyma.08G113100.Wm82.a4.v1,False,False
Glyma.16G022400.Wm82.a4.v1,False,False
Glyma.19G242100.Wm82.a4.v1,False,False
Glyma.20G187100.Wm82.a4.v1,False,False
Glyma.08G365500.Wm82.a4.v1,False,False
Glyma.17G101300.Wm82.a4.v1,False,False
Glyma.12G056600.Wm82.a4.v1,False,False
Glyma.06G001100.Wm82.a4.v1,False,False
Glyma.13G069400.Wm82.a4.v1,False,False
Glyma.09G099100.Wm82.a4.v1,False,False
Glyma.19G012000.Wm82.a4.v1,False,False
Glyma.18G138751.Wm82.a4.v1,False,False
Glyma.12G156800.Wm82.a4.v1,False,False
Glyma.13G129300.Wm82.a4.v1,False,False
Glyma.05G178500.Wm82.a4.v1,False,False
Glyma.08G051800.Wm82.a4.v1,False,False
Glyma.06G001600.Wm82.a4.v1,False,False
Glyma.05G012700.Wm82.a4.v1,False,False
Glyma.15G062000.Wm82.a4.v1,False,False
Glyma.14G089024.Wm82.a4.v1,False,False
Glyma.02G079400.Wm82.a4.v1,False,False
Glyma.09G252900.Wm82.a4.v1,False,False
Glyma.13G273300.Wm82.a4.v1,False,False
Glyma.08G159800.Wm82.a4.v1,False,False
Glyma.16G073700.Wm82.a4.v1,False,False
Glyma.14G105700.Wm82.a4.v1,False,False
Glyma.06G092500.Wm82.a4.v1,False,False
Glyma.17G036700.Wm82.a4.v1,False,False
Glyma.17G113300.Wm82.a4.v1,False,False
Glyma.14G027400.Wm82.a4.v1,False,True
Glyma.03G194400.Wm82.a4.v1,False,False
Glyma.06G065000.Wm82.a4.v1,True,True
Glyma.15G194600.Wm82.a4.v1,False,True
Glyma.01G161900.Wm82.a4.v1,False,False
Glyma.09G245000.Wm82.a4.v1,False,False
Glyma.20G071100.Wm82.a4.v1,False,False
Glyma.16G073300.Wm82.a4.v1,False,False
Glyma.02G257700.Wm82.a4.v1,False,False
Glyma.19G213802.Wm82.a4.v1,False,False
Glyma.04G156752.Wm82.a4.v1,False,False
Glyma.08G101100.Wm82.a4.v1,False,False
Glyma.09G012600.Wm82.a4.v1,False,False
Glyma.19G010900.Wm82.a4.v1,False,False
Glyma.16G049300.Wm82.a4.v1,False,False
Glyma.02G045800.Wm82.a4.v1,False,False
Glyma.13G136000.Wm82.a4.v1,False,False
Glyma.19G143100.Wm82.a4.v1,False,False
Glyma.12G011400.Wm82.a4.v1,False,True
Glyma.04G062300.Wm82.a4.v1,False,False
Glyma.06G256300.Wm82.a4.v1,False,False
Glyma.08G294700.Wm82.a4.v1,False,False
Glyma.04G090800.Wm82.a4.v1,False,False
Glyma.04G022100.Wm82.a4.v1,False,False
Glyma.20G143600.Wm82.a4.v1,False,False
Glyma.16G215000.Wm82.a4.v1,False,False
Glyma.19G036100.Wm82.a4.v1,False,False
Glyma.18G007900.Wm82.a4.v1,False,False
Glyma.03G056700.Wm82.a4.v1,False,False
Glyma.17G008600.Wm82.a4.v1,False,False
Glyma.06G083200.Wm82.a4.v1,False,False
Glyma.08G221900.Wm82.a4.v1,False,False
Glyma.05G024700.Wm82.a4.v1,False,False
Glyma.02G103900.Wm82.a4.v1,False,False
Glyma.18G046700.Wm82.a4.v1,False,False
Glyma.14G214600.Wm82.a4.v1,False,False
Glyma.02G150700.Wm82.a4.v1,False,True
Glyma.16G128140.Wm82.a4.v1,False,False
Glyma.06G111500.Wm82.a4.v1,False,False
Glyma.06G323200.Wm82.a4.v1,False,False
Glyma.10G228900.Wm82.a4.v1,True,True
Glyma.05G150000.Wm82.a4.v1,False,False
Glyma.07G217600.Wm82.a4.v1,False,True
Glyma.08G213300.Wm82.a4.v1,False,False
Glyma.02G302700.Wm82.a4.v1,False,False
Glyma.14G124550.Wm82.a4.v1,False,False
Glyma.06G038600.Wm82.a4.v1,False,False
Glyma.16G203300.Wm82.a4.v1,False,False
Glyma.10G214700.Wm82.a4.v1,False,False
Glyma.06G308800.Wm82.a4.v1,False,False
Glyma.11G054100.Wm82.a4.v1,False,False
Glyma.10G167000.Wm82.a4.v1,False,False
Glyma.08G288300.Wm82.a4.v1,False,False
Glyma.12G081400.Wm82.a4.v1,False,False
Glyma.10G231500.Wm82.a4.v1,False,False
Glyma.07G090200.Wm82.a4.v1,False,False
Glyma.16G038000.Wm82.a4.v1,False,False
Glyma.06G101400.Wm82.a4.v1,False,False
Glyma.13G070400.Wm82.a4.v1,False,False
Glyma.08G285700.Wm82.a4.v1,False,False
Glyma.07G081200.Wm82.a4.v1,False,False
Glyma.08G110000.Wm82.a4.v1,False,False
Glyma.14G030600.Wm82.a4.v1,False,False
Glyma.02G289400.Wm82.a4.v1,False,False
Glyma.16G130900.Wm82.a4.v1,False,False
Glyma.05G031000.Wm82.a4.v1,False,False
Glyma.17G091200.Wm82.a4.v1,False,False
Glyma.02G221000.Wm82.a4.v1,False,False
Glyma.12G152700.Wm82.a4.v1,False,False
Glyma.04G095000.Wm82.a4.v1,False,False
Glyma.05G218500.Wm82.a4.v1,False,False
Glyma.07G126400.Wm82.a4.v1,False,False
Glyma.01G103450.Wm82.a4.v1,False,False
Glyma.12G193000.Wm82.a4.v1,False,False
Glyma.10G294700.Wm82.a4.v1,False,False
Glyma.18G127400.Wm82.a4.v1,True,True
Glyma.12G091700.Wm82.a4.v1,False,False
Glyma.05G238900.Wm82.a4.v1,False,False
Glyma.05G005500.Wm82.a4.v1,False,False
Glyma.06G113500.Wm82.a4.v1,False,False
Glyma.03G165500.Wm82.a4.v1,False,False
Glyma.18G290800.Wm82.a4.v1,False,False
Glyma.17G075300.Wm82.a4.v1,False,False
Glyma.01G234600.Wm82.a4.v1,False,False
Glyma.19G212900.Wm82.a4.v1,False,False
Glyma.14G123900.Wm82.a4.v1,False,False
Glyma.11G201500.Wm82.a4.v1,False,False
Glyma.13G138400.Wm82.a4.v1,False,False
Glyma.20G090100.Wm82.a4.v1,False,False
Glyma.12G046200.Wm82.a4.v1,False,False
Glyma.02G035501.Wm82.a4.v1,False,False
Glyma.02G152000.Wm82.a4.v1,False,True
Glyma.04G058800.Wm82.a4.v1,False,False
Glyma.15G147200.Wm82.a4.v1,False,False
Glyma.02G079000.Wm82.a4.v1,False,False
Glyma.07G217800.Wm82.a4.v1,False,False
Glyma.04G111000.Wm82.a4.v1,False,False
Glyma.12G054400.Wm82.a4.v1,False,False
Glyma.19G215300.Wm82.a4.v1,False,False
Glyma.14G011900.Wm82.a4.v1,False,False
Glyma.03G154800.Wm82.a4.v1,False,False
Glyma.13G149800.Wm82.a4.v1,False,False
Glyma.06G156200.Wm82.a4.v1,False,False
Glyma.09G264800.Wm82.a4.v1,False,False
Glyma.07G102800.Wm82.a4.v1,False,False
Glyma.20G100400.Wm82.a4.v1,False,False
Glyma.15G150400.Wm82.a4.v1,False,False
Glyma.18G281500.Wm82.a4.v1,False,False
Glyma.16G111700.Wm82.a4.v1,False,False
Glyma.08G185800.Wm82.a4.v1,False,False
Glyma.17G075200.Wm82.a4.v1,False,False
Glyma.04G095300.Wm82.a4.v1,False,False
Glyma.03G086400.Wm82.a4.v1,False,False
Glyma.10G284900.Wm82.a4.v1,False,False
Glyma.08G302700.Wm82.a4.v1,False,False
Glyma.15G167500.Wm82.a4.v1,False,False
Glyma.15G091400.Wm82.a4.v1,False,False
Glyma.16G000700.Wm82.a4.v1,False,False
Glyma.09G067900.Wm82.a4.v1,False,False
Glyma.19G204100.Wm82.a4.v1,False,False
Glyma.13G180800.Wm82.a4.v1,False,False
Glyma.14G089042.Wm82.a4.v1,False,False
Glyma.01G038700.Wm82.a4.v1,False,False
Glyma.19G201900.Wm82.a4.v1,False,False
Glyma.17G015800.Wm82.a4.v1,False,False
Glyma.03G159900.Wm82.a4.v1,False,False
Glyma.13G226900.Wm82.a4.v1,False,False
Glyma.06G067400.Wm82.a4.v1,False,False
Glyma.01G172400.Wm82.a4.v1,False,False
Glyma.19G143600.Wm82.a4.v1,False,False
Glyma.06G232100.Wm82.a4.v1,False,False
Glyma.04G167900.Wm82.a4.v1,False,False
Glyma.07G048000.Wm82.a4.v1,True,True
Glyma.05G151500.Wm82.a4.v1,False,False
Glyma.06G318400.Wm82.a4.v1,False,False
Glyma.11G037400.Wm82.a4.v1,False,False
Glyma.16G047200.Wm82.a4.v1,False,False
Glyma.08G145100.Wm82.a4.v1,False,False
Glyma.13G315800.Wm82.a4.v1,False,False
Glyma.06G187400.Wm82.a4.v1,False,False
Glyma.09G222900.Wm82.a4.v1,False,False
Glyma.16G037000.Wm82.a4.v1,False,False
Glyma.05G184700.Wm82.a4.v1,False,False
Glyma.07G256900.Wm82.a4.v1,False,False
Glyma.11G136700.Wm82.a4.v1,False,False
Glyma.19G240700.Wm82.a4.v1,False,False
Glyma.01G095100.Wm82.a4.v1,False,False
Glyma.04G237800.Wm82.a4.v1,False,False
Glyma.01G121700.Wm82.a4.v1,False,False
Glyma.17G022400.Wm82.a4.v1,False,False
Glyma.13G166400.Wm82.a4.v1,False,False
Glyma.10G065900.Wm82.a4.v1,False,False
Glyma.16G042600.Wm82.a4.v1,False,False
Glyma.08G322600.Wm82.a4.v1,False,False
Glyma.05G211600.Wm82.a4.v1,True,True
Glyma.08G011100.Wm82.a4.v1,True,True
Glyma.11G218100.Wm82.a4.v1,False,False
Glyma.09G008700.Wm82.a4.v1,False,False
Glyma.07G208400.Wm82.a4.v1,False,False
Glyma.20G006400.Wm82.a4.v1,False,False
Glyma.18G023100.Wm82.a4.v1,False,True
Glyma.17G208500.Wm82.a4.v1,False,False
Glyma.02G251500.Wm82.a4.v1,False,False
Glyma.18G271700.Wm82.a4.v1,False,False
Glyma.13G042000.Wm82.a4.v1,False,False
Glyma.05G197300.Wm82.a4.v1,False,False
Glyma.03G248800.Wm82.a4.v1,False,False
Glyma.08G240900.Wm82.a4.v1,False,False
Glyma.08G064900.Wm82.a4.v1,False,False
Glyma.11G105500.Wm82.a4.v1,False,False
Glyma.12G073200.Wm82.a4.v1,False,False
Glyma.20G186700.Wm82.a4.v1,False,False
Glyma.12G103800.Wm82.a4.v1,False,False
Glyma.03G137300.Wm82.a4.v1,False,False
Glyma.05G073200.Wm82.a4.v1,False,False
Glyma.20G008200.Wm82.a4.v1,False,False
Glyma.01G121300.Wm82.a4.v1,False,False
Glyma.04G128500.Wm82.a4.v1,False,False
Glyma.18G202800.Wm82.a4.v1,False,False
Glyma.02G019600.Wm82.a4.v1,False,False
Glyma.07G102400.Wm82.a4.v1,False,False
Glyma.03G076200.Wm82.a4.v1,False,False
Glyma.20G097102.Wm82.a4.v1,False,False
Glyma.11G165710.Wm82.a4.v1,False,False
Glyma.18G237400.Wm82.a4.v1,False,False
Glyma.20G083000.Wm82.a4.v1,False,False
Glyma.20G198732.Wm82.a4.v1,False,False
Glyma.06G139800.Wm82.a4.v1,False,False
Glyma.11G229100.Wm82.a4.v1,False,False
Glyma.08G265300.Wm82.a4.v1,False,False
Glyma.02G277200.Wm82.a4.v1,False,False
Glyma.16G036200.Wm82.a4.v1,False,False
Glyma.08G257000.Wm82.a4.v1,False,False
Glyma.17G069000.Wm82.a4.v1,False,False
Glyma.08G346300.Wm82.a4.v1,False,False
Glyma.07G189000.Wm82.a4.v1,False,False
Glyma.11G067600.Wm82.a4.v1,False,False
Glyma.03G190300.Wm82.a4.v1,False,False
Glyma.03G250100.Wm82.a4.v1,False,False
Glyma.03G203600.Wm82.a4.v1,False,False
Glyma.09G240700.Wm82.a4.v1,False,False
Glyma.07G253800.Wm82.a4.v1,False,False
Glyma.03G196100.Wm82.a4.v1,False,False
Glyma.18G249600.Wm82.a4.v1,False,True
Glyma.06G052000.Wm82.a4.v1,False,False
Glyma.04G056133.Wm82.a4.v1,False,False
Glyma.09G251800.Wm82.a4.v1,False,False
Glyma.06G195500.Wm82.a4.v1,False,False
Glyma.09G088700.Wm82.a4.v1,False,False
Glyma.05G104100.Wm82.a4.v1,False,False
Glyma.18G113966.Wm82.a4.v1,False,False
Glyma.09G036000.Wm82.a4.v1,False,False
Glyma.04G034700.Wm82.a4.v1,False,False
Glyma.07G169200.Wm82.a4.v1,False,False
Glyma.19G200700.Wm82.a4.v1,False,False
Glyma.08G029000.Wm82.a4.v1,False,False
Glyma.04G057900.Wm82.a4.v1,False,False
Glyma.08G163000.Wm82.a4.v1,True,True
Glyma.18G050500.Wm82.a4.v1,False,False
Glyma.15G046100.Wm82.a4.v1,False,False
Glyma.14G068100.Wm82.a4.v1,False,False
Glyma.18G228500.Wm82.a4.v1,False,False
Glyma.10G217600.Wm82.a4.v1,False,False
Glyma.13G268500.Wm82.a4.v1,False,False
Glyma.05G172000.Wm82.a4.v1,False,False
Glyma.13G054300.Wm82.a4.v1,False,False
Glyma.20G199500.Wm82.a4.v1,False,False
Glyma.05G036900.Wm82.a4.v1,False,False
Glyma.13G261400.Wm82.a4.v1,False,False
Glyma.06G194200.Wm82.a4.v1,False,False
Glyma.08G049300.Wm82.a4.v1,False,False
Glyma.10G296500.Wm82.a4.v1,False,False
Glyma.06G108600.Wm82.a4.v1,False,False
Glyma.13G213600.Wm82.a4.v1,False,False
Glyma.20G239200.Wm82.a4.v1,False,False
Glyma.16G107700.Wm82.a4.v1,False,False
Glyma.06G101600.Wm82.a4.v1,True,True
Glyma.09G251700.Wm82.a4.v1,False,False
Glyma.17G192800.Wm82.a4.v1,False,False
Glyma.13G115600.Wm82.a4.v1,False,False
Glyma.10G298800.Wm82.a4.v1,False,False
Glyma.10G207200.Wm82.a4.v1,True,True
Glyma.06G306500.Wm82.a4.v1,False,False
Glyma.17G013600.Wm82.a4.v1,False,False
Glyma.04G020100.Wm82.a4.v1,False,False
Glyma.20G093900.Wm82.a4.v1,False,False
Glyma.03G094300.Wm82.a4.v1,False,False
Glyma.09G081600.Wm82.a4.v1,False,False
Glyma.18G167300.Wm82.a4.v1,False,False
Glyma.10G049200.Wm82.a4.v1,False,False
Glyma.11G201700.Wm82.a4.v1,False,False
Glyma.08G223500.Wm82.a4.v1,False,False
Glyma.02G175400.Wm82.a4.v1,False,False
Glyma.05G006000.Wm82.a4.v1,False,False
Glyma.16G208800.Wm82.a4.v1,False,False
Glyma.20G222600.Wm82.a4.v1,False,False
Glyma.13G233400.Wm82.a4.v1,False,True
Glyma.10G245100.Wm82.a4.v1,False,False
Glyma.17G048900.Wm82.a4.v1,False,False
Glyma.12G173500.Wm82.a4.v1,False,False
Glyma.08G045200.Wm82.a4.v1,True,True
Glyma.15G083700.Wm82.a4.v1,False,False
Glyma.18G048000.Wm82.a4.v1,False,False
Glyma.03G240200.Wm82.a4.v1,False,False
Glyma.09G257000.Wm82.a4.v1,False,False
Glyma.19G069200.Wm82.a4.v1,False,False
Glyma.19G144200.Wm82.a4.v1,False,False
Glyma.12G182800.Wm82.a4.v1,False,False
Glyma.19G008700.Wm82.a4.v1,False,False
Glyma.03G125800.Wm82.a4.v1,False,False
Glyma.05G207800.Wm82.a4.v1,False,False
Glyma.05G032600.Wm82.a4.v1,True,True
Glyma.08G028300.Wm82.a4.v1,False,False
Glyma.09G029300.Wm82.a4.v1,False,False
Glyma.09G050500.Wm82.a4.v1,False,False
Glyma.02G018700.Wm82.a4.v1,False,False
Glyma.06G229200.Wm82.a4.v1,False,False
Glyma.19G123451.Wm82.a4.v1,False,False
Glyma.10G137800.Wm82.a4.v1,False,False
Glyma.02G253300.Wm82.a4.v1,False,False
Glyma.13G165200.Wm82.a4.v1,False,False
Glyma.01G223200.Wm82.a4.v1,False,False
Glyma.09G134200.Wm82.a4.v1,False,False
Glyma.20G153700.Wm82.a4.v1,False,False
Glyma.11G092200.Wm82.a4.v1,False,False
Glyma.02G161200.Wm82.a4.v1,False,False
Glyma.15G170700.Wm82.a4.v1,False,False
Glyma.17G037700.Wm82.a4.v1,False,False
Glyma.14G058900.Wm82.a4.v1,False,False
Glyma.17G232245.Wm82.a4.v1,False,False
Glyma.14G094100.Wm82.a4.v1,False,False
Glyma.06G235500.Wm82.a4.v1,False,False
Glyma.15G008200.Wm82.a4.v1,False,False
Glyma.05G197400.Wm82.a4.v1,False,False
Glyma.08G094900.Wm82.a4.v1,False,False
Glyma.03G056500.Wm82.a4.v1,False,False
Glyma.05G066800.Wm82.a4.v1,False,False
Glyma.18G025100.Wm82.a4.v1,False,False
Glyma.03G126600.Wm82.a4.v1,False,False
Glyma.03G048301.Wm82.a4.v1,False,False
Glyma.12G080600.Wm82.a4.v1,False,False
Glyma.16G199900.Wm82.a4.v1,False,False
Glyma.02G170500.Wm82.a4.v1,False,False
Glyma.09G030400.Wm82.a4.v1,False,False
Glyma.17G235100.Wm82.a4.v1,False,False
Glyma.07G053900.Wm82.a4.v1,False,False
Glyma.11G197001.Wm82.a4.v1,False,False
Glyma.15G215900.Wm82.a4.v1,False,False
Glyma.15G163900.Wm82.a4.v1,False,False
Glyma.17G248200.Wm82.a4.v1,False,False
Glyma.17G220700.Wm82.a4.v1,False,False
Glyma.05G206500.Wm82.a4.v1,False,False
Glyma.02G190000.Wm82.a4.v1,False,False
Glyma.11G184100.Wm82.a4.v1,False,False
Glyma.08G053200.Wm82.a4.v1,False,False
Glyma.12G038300.Wm82.a4.v1,False,False
Glyma.04G001200.Wm82.a4.v1,False,False
Glyma.04G013900.Wm82.a4.v1,False,False
Glyma.08G331800.Wm82.a4.v1,False,False
Glyma.06G168300.Wm82.a4.v1,False,False
Glyma.04G142000.Wm82.a4.v1,False,False
Glyma.11G142900.Wm82.a4.v1,True,True
Glyma.08G238900.Wm82.a4.v1,False,False
Glyma.04G161000.Wm82.a4.v1,False,False
Glyma.10G001700.Wm82.a4.v1,False,False
Glyma.17G231000.Wm82.a4.v1,False,True
Glyma.04G028500.Wm82.a4.v1,False,False
Glyma.14G010900.Wm82.a4.v1,False,False
Glyma.11G052500.Wm82.a4.v1,False,False
Glyma.15G016300.Wm82.a4.v1,False,False
Glyma.06G054700.Wm82.a4.v1,False,True
Glyma.02G293500.Wm82.a4.v1,False,False
Glyma.09G036700.Wm82.a4.v1,False,False
Glyma.10G084500.Wm82.a4.v1,False,False
Glyma.06G215400.Wm82.a4.v1,False,False
Glyma.12G210000.Wm82.a4.v1,False,False
Glyma.15G016400.Wm82.a4.v1,False,False
Glyma.13G090600.Wm82.a4.v1,True,True
Glyma.04G072600.Wm82.a4.v1,False,False
Glyma.18G009200.Wm82.a4.v1,False,False
Glyma.18G017700.Wm82.a4.v1,False,False
Glyma.19G195600.Wm82.a4.v1,False,False
Glyma.07G010500.Wm82.a4.v1,False,False
Glyma.18G294200.Wm82.a4.v1,False,True
Glyma.14G221800.Wm82.a4.v1,False,False
Glyma.20G198400.Wm82.a4.v1,False,False
Glyma.06G021200.Wm82.a4.v1,False,False
Glyma.02G038300.Wm82.a4.v1,False,False
Glyma.12G056500.Wm82.a4.v1,False,False
Glyma.07G169500.Wm82.a4.v1,False,False
Glyma.17G106500.Wm82.a4.v1,False,False
Glyma.02G002800.Wm82.a4.v1,False,False
Glyma.20G004600.Wm82.a4.v1,False,False
Glyma.08G282700.Wm82.a4.v1,False,False
Glyma.01G023900.Wm82.a4.v1,False,False
Glyma.18G269400.Wm82.a4.v1,False,False
Glyma.05G048500.Wm82.a4.v1,True,True
Glyma.15G258300.Wm82.a4.v1,False,False
Glyma.10G276400.Wm82.a4.v1,False,False
Glyma.13G120500.Wm82.a4.v1,False,False
Glyma.18G041000.Wm82.a4.v1,False,False
Glyma.08G317400.Wm82.a4.v1,False,False
Glyma.10G031700.Wm82.a4.v1,False,False
Glyma.15G138500.Wm82.a4.v1,False,False
Glyma.08G040000.Wm82.a4.v1,False,False
Glyma.17G109300.Wm82.a4.v1,False,False
Glyma.11G053400.Wm82.a4.v1,False,True
Glyma.02G193000.Wm82.a4.v1,False,False
Glyma.09G019300.Wm82.a4.v1,False,False
Glyma.02G282700.Wm82.a4.v1,False,False
Glyma.06G127700.Wm82.a4.v1,False,False
Glyma.02G220300.Wm82.a4.v1,False,False
Glyma.10G023700.Wm82.a4.v1,False,False
Glyma.04G102400.Wm82.a4.v1,True,False
Glyma.05G179000.Wm82.a4.v1,False,False
Glyma.11G148400.Wm82.a4.v1,False,False
Glyma.13G008300.Wm82.a4.v1,False,False
Glyma.17G111500.Wm82.a4.v1,False,False
Glyma.05G053300.Wm82.a4.v1,False,False
Glyma.08G238000.Wm82.a4.v1,False,False
Glyma.06G324700.Wm82.a4.v1,False,False
Glyma.09G213100.Wm82.a4.v1,False,False
Glyma.01G184500.Wm82.a4.v1,False,False
Glyma.07G093000.Wm82.a4.v1,False,False
Glyma.08G236200.Wm82.a4.v1,False,False
Glyma.19G206300.Wm82.a4.v1,False,False
Glyma.18G030200.Wm82.a4.v1,False,False
Glyma.18G286600.Wm82.a4.v1,False,False
