,conservation_score
Glyma.13G176000.Wm82.a4.v1,0.9957435701808983
Glyma.10G026600.Wm82.a4.v1,0.9956030276868714
Glyma.17G133200.Wm82.a4.v1,0.9955176983154979
Glyma.04G112800.Wm82.a4.v1,0.9955126789407112
Glyma.19G123800.Wm82.a4.v1,0.9954574658180577
Glyma.19G216300.Wm82.a4.v1,0.9953972333206176
Glyma.19G260600.Wm82.a4.v1,0.9953821751962576
Glyma.09G089600.Wm82.a4.v1,0.9953344911357841
Glyma.01G022100.Wm82.a4.v1,0.9953018651996707
Glyma.01G215500.Wm82.a4.v1,0.9953018651996707
Glyma.10G089300.Wm82.a4.v1,0.995266729576164
Glyma.08G074000.Wm82.a4.v1,0.9952566908265906
Glyma.02G064700.Wm82.a4.v1,0.9952014777039372
Glyma.11G061300.Wm82.a4.v1,0.9951864195795772
Glyma.04G020300.Wm82.a4.v1,0.9950910514586303
Glyma.05G051300.Wm82.a4.v1,0.9950408577107636
Glyma.03G086200.Wm82.a4.v1,0.9949756058385367
Glyma.07G142700.Wm82.a4.v1,0.99497058646375
Glyma.08G173700.Wm82.a4.v1,0.9948902764671632
Glyma.03G219400.Wm82.a4.v1,0.9948451020940832
Glyma.08G304200.Wm82.a4.v1,0.9948350633445098
Glyma.13G230500.Wm82.a4.v1,0.9948300439697231
Glyma.11G181100.Wm82.a4.v1,0.9948250245949365
Glyma.11G095600.Wm82.a4.v1,0.9947296564739896
Glyma.14G185700.Wm82.a4.v1,0.9947095789748429
Glyma.10G089500.Wm82.a4.v1,0.9946418174152227
Glyma.12G219300.Wm82.a4.v1,0.9946418174152227
Glyma.15G243300.Wm82.a4.v1,0.9946292689782561
Glyma.09G210900.Wm82.a4.v1,0.9945966430421427
Glyma.06G202200.Wm82.a4.v1,0.9945840946051759
Glyma.04G167900.Wm82.a4.v1,0.9945439396068826
Glyma.07G047600.Wm82.a4.v1,0.9944987652338024
Glyma.12G117900.Wm82.a4.v1,0.994428493986789
Glyma.15G077700.Wm82.a4.v1,0.9944084164876423
Glyma.01G231900.Wm82.a4.v1,0.9943532033649889
Glyma.08G204800.Wm82.a4.v1,0.9942377577448953
Glyma.09G196000.Wm82.a4.v1,0.9942327383701086
Glyma.15G148500.Wm82.a4.v1,0.9942176802457486
Glyma.11G245400.Wm82.a4.v1,0.9941599574357018
Glyma.06G194900.Wm82.a4.v1,0.9940118858794948
Glyma.14G134900.Wm82.a4.v1,0.9939215371333346
Glyma.08G082900.Wm82.a4.v1,0.9938663240106812
Glyma.08G186200.Wm82.a4.v1,0.9938613046358945
Glyma.18G030400.Wm82.a4.v1,0.9938537755737146
Glyma.05G007100.Wm82.a4.v1,0.9938412271367478
Glyma.18G114900.Wm82.a4.v1,0.9938035818258478
Glyma.09G067700.Wm82.a4.v1,0.9937910333888811
Glyma.04G075800.Wm82.a4.v1,0.9937809946393077
Glyma.06G015900.Wm82.a4.v1,0.9937659365149477
Glyma.13G299200.Wm82.a4.v1,0.9937558977653743
Glyma.07G200000.Wm82.a4.v1,0.9936705683940008
Glyma.02G184800.Wm82.a4.v1,0.9935199871504006
Glyma.20G225900.Wm82.a4.v1,0.9934999096512538
Glyma.15G091600.Wm82.a4.v1,0.9934396771538138
Glyma.11G226900.Wm82.a4.v1,0.993427128716847
Glyma.06G204200.Wm82.a4.v1,0.993359367157227
Glyma.11G043400.Wm82.a4.v1,0.9933493284076536
Glyma.03G159100.Wm82.a4.v1,0.9932890959102134
Glyma.16G143600.Wm82.a4.v1,0.9932564699741
Glyma.16G205200.Wm82.a4.v1,0.99321129560102
Glyma.06G119500.Wm82.a4.v1,0.9932087859136266
Glyma.01G115900.Wm82.a4.v1,0.9931234565422531
Glyma.02G047600.Wm82.a4.v1,0.9930331077960929
Glyma.04G066000.Wm82.a4.v1,0.9930080109221595
Glyma.01G010200.Wm82.a4.v1,0.9930029915473728
Glyma.07G019500.Wm82.a4.v1,0.9930029915473728
Glyma.02G141700.Wm82.a4.v1,0.9929653462364728
Glyma.05G022200.Wm82.a4.v1,0.9928599393659526
Glyma.08G181000.Wm82.a4.v1,0.9928473909289859
Glyma.04G055300.Wm82.a4.v1,0.9928398618668058
Glyma.09G087700.Wm82.a4.v1,0.9928373521794125
Glyma.01G106800.Wm82.a4.v1,0.9928222940550525
Glyma.12G202500.Wm82.a4.v1,0.9927971971811191
Glyma.02G218300.Wm82.a4.v1,0.9926767321862389
Glyma.18G285100.Wm82.a4.v1,0.9926666934366656
Glyma.19G161400.Wm82.a4.v1,0.9925161121930652
Glyma.09G131500.Wm82.a4.v1,0.9924859959443452
Glyma.16G028500.Wm82.a4.v1,0.9924408215712651
Glyma.13G302900.Wm82.a4.v1,0.9922074206436846
Glyma.02G019200.Wm82.a4.v1,0.9921998915815046
Glyma.14G138200.Wm82.a4.v1,0.9921848334571446
Glyma.06G321900.Wm82.a4.v1,0.9921647559579979
Glyma.04G215800.Wm82.a4.v1,0.9921195815849178
Glyma.09G102400.Wm82.a4.v1,0.9920493103379043
Glyma.10G042100.Wm82.a4.v1,0.9919413937799908
Glyma.12G052500.Wm82.a4.v1,0.9919388840925975
Glyma.03G146100.Wm82.a4.v1,0.9918083803481438
Glyma.01G198500.Wm82.a4.v1,0.9917180316019837
Glyma.12G122700.Wm82.a4.v1,0.9914821209870098
Glyma.13G129500.Wm82.a4.v1,0.9914494950508964
Glyma.02G209000.Wm82.a4.v1,0.9914294175517497
Glyma.11G248900.Wm82.a4.v1,0.9912662878711828
Glyma.16G016100.Wm82.a4.v1,0.9912637781837894
Glyma.16G029300.Wm82.a4.v1,0.9912512297468228
Glyma.13G132100.Wm82.a4.v1,0.9911006485032224
Glyma.16G017600.Wm82.a4.v1,0.9908296022647419
Glyma.06G055500.Wm82.a4.v1,0.9907869375790551
Glyma.19G172500.Wm82.a4.v1,0.9907141566446483
Glyma.13G129400.Wm82.a4.v1,0.9906338466480615
Glyma.15G194300.Wm82.a4.v1,0.9906062400867348
Glyma.06G242900.Wm82.a4.v1,0.9905585560262614
Glyma.03G120300.Wm82.a4.v1,0.9904631879053145
Glyma.17G214400.Wm82.a4.v1,0.9904531491557411
Glyma.15G015100.Wm82.a4.v1,0.9900415604232337
Glyma.13G357300.Wm82.a4.v1,0.9898608629309134
Glyma.20G083800.Wm82.a4.v1,0.9898257273074066
Glyma.05G048000.Wm82.a4.v1,0.9898156885578332
Glyma.08G311600.Wm82.a4.v1,0.9896349910655129
Glyma.19G227700.Wm82.a4.v1,0.9896073845041862
Glyma.14G063700.Wm82.a4.v1,0.9894593129479792
Glyma.12G065100.Wm82.a4.v1,0.9894241773244724
Glyma.14G063800.Wm82.a4.v1,0.9893915513883591
Glyma.11G142100.Wm82.a4.v1,0.9892986929548055
Glyma.07G059600.Wm82.a4.v1,0.9892685767060855
Glyma.15G071600.Wm82.a4.v1,0.989183247334712
Glyma.11G111100.Wm82.a4.v1,0.9891330535868452
Glyma.03G119500.Wm82.a4.v1,0.989020117654145
Glyma.04G015900.Wm82.a4.v1,0.9889473367197382
Glyma.17G037700.Wm82.a4.v1,0.988849458911398
Glyma.16G145800.Wm82.a4.v1,0.988686329230831
Glyma.08G332900.Wm82.a4.v1,0.9886009998594575
Glyma.17G201600.Wm82.a4.v1,0.9883550504949103
Glyma.13G254900.Wm82.a4.v1,0.9882797598731102
Glyma.04G014500.Wm82.a4.v1,0.9882446242496035
Glyma.04G221700.Wm82.a4.v1,0.9881643142530167
Glyma.11G053400.Wm82.a4.v1,0.9879785973859097
Glyma.03G230000.Wm82.a4.v1,0.9879710683237296
Glyma.01G044000.Wm82.a4.v1,0.9878531130162427
Glyma.03G259400.Wm82.a4.v1,0.9876975123978557
Glyma.13G294300.Wm82.a4.v1,0.9876523380247756
Glyma.06G176900.Wm82.a4.v1,0.9873561949123617
Glyma.10G174700.Wm82.a4.v1,0.9871102455478146
Glyma.18G138300.Wm82.a4.v1,0.987017387114261
Glyma.19G181300.Wm82.a4.v1,0.9867137149396671
Glyma.03G171100.Wm82.a4.v1,0.9866585018170136
Glyma.15G250800.Wm82.a4.v1,0.986653482442227
Glyma.08G354700.Wm82.a4.v1,0.9865179593229867
Glyma.01G211200.Wm82.a4.v1,0.9864778043246933
Glyma.11G141600.Wm82.a4.v1,0.9862142871483928
Glyma.08G106700.Wm82.a4.v1,0.9862067580862128
Glyma.13G277900.Wm82.a4.v1,0.9860888027787259
Glyma.12G215900.Wm82.a4.v1,0.9860561768426125
Glyma.04G065600.Wm82.a4.v1,0.9860310799686791
Glyma.15G016300.Wm82.a4.v1,0.9859507699720923
Glyma.10G263000.Wm82.a4.v1,0.9859081052864055
Glyma.05G001100.Wm82.a4.v1,0.985830304977212
Glyma.02G280800.Wm82.a4.v1,0.9857650531049852
Glyma.01G082700.Wm82.a4.v1,0.9855341618647981
Glyma.01G229800.Wm82.a4.v1,0.9847385909611099
Glyma.03G068100.Wm82.a4.v1,0.9847009456502098
Glyma.16G175000.Wm82.a4.v1,0.9846557712771297
Glyma.17G174500.Wm82.a4.v1,0.9845855000301162
Glyma.18G049600.Wm82.a4.v1,0.9845453450318228
Glyma.11G027000.Wm82.a4.v1,0.9844349187865159
Glyma.18G184000.Wm82.a4.v1,0.9844198606621559
Glyma.02G305400.Wm82.a4.v1,0.9843546087899291
Glyma.07G200300.Wm82.a4.v1,0.984309434416849
Glyma.09G073900.Wm82.a4.v1,0.9842341437950489
Glyma.05G003200.Wm82.a4.v1,0.9841538337984621
Glyma.03G063200.Wm82.a4.v1,0.9840559559901219
Glyma.13G334300.Wm82.a4.v1,0.9838827875599815
Glyma.10G216700.Wm82.a4.v1,0.9838376131869014
Glyma.08G154300.Wm82.a4.v1,0.9838175356877548
Glyma.10G097800.Wm82.a4.v1,0.9838175356877548
Glyma.14G029700.Wm82.a4.v1,0.9837874194390347
Glyma.07G089500.Wm82.a4.v1,0.9837020900676612
Glyma.17G071200.Wm82.a4.v1,0.9833758307065272
Glyma.08G062300.Wm82.a4.v1,0.9833657919569538
Glyma.08G175800.Wm82.a4.v1,0.9832829722729737
Glyma.15G209000.Wm82.a4.v1,0.9831800750898468
Glyma.13G282000.Wm82.a4.v1,0.9831599975907
Glyma.18G281500.Wm82.a4.v1,0.9830144357218865
Glyma.13G176200.Wm82.a4.v1,0.9828111510430261
Glyma.19G145800.Wm82.a4.v1,0.9827935832312727
Glyma.02G034300.Wm82.a4.v1,0.9825978276145924
Glyma.17G046500.Wm82.a4.v1,0.9825200273053989
Glyma.03G110100.Wm82.a4.v1,0.9825150079306122
Glyma.11G127800.Wm82.a4.v1,0.9824974401188588
Glyma.16G178800.Wm82.a4.v1,0.9824572851205654
Glyma.11G048300.Wm82.a4.v1,0.9824372076214187
Glyma.10G104700.Wm82.a4.v1,0.9823318007508984
Glyma.19G124900.Wm82.a4.v1,0.9821109482602847
Glyma.10G040600.Wm82.a4.v1,0.9820958901359247
Glyma.01G040200.Wm82.a4.v1,0.9820532254502379
Glyma.15G275600.Wm82.a4.v1,0.9820431867006646
Glyma.10G169600.Wm82.a4.v1,0.9818148051478708
Glyma.09G138400.Wm82.a4.v1,0.9817545726504306
Glyma.17G214900.Wm82.a4.v1,0.9815537976589636
Glyma.19G100000.Wm82.a4.v1,0.9809213564358423
Glyma.13G347800.Wm82.a4.v1,0.9809062983114823
Glyma.11G037500.Wm82.a4.v1,0.9808686530005822
Glyma.03G171400.Wm82.a4.v1,0.9808310076896821
Glyma.17G247300.Wm82.a4.v1,0.9807808139418154
Glyma.01G031400.Wm82.a4.v1,0.980718071756982
Glyma.09G077600.Wm82.a4.v1,0.9806553295721485
Glyma.10G162200.Wm82.a4.v1,0.980615174573855
Glyma.13G100200.Wm82.a4.v1,0.9806051358242818
Glyma.16G172600.Wm82.a4.v1,0.9805449033268416
Glyma.05G051600.Wm82.a4.v1,0.9804244383319614
Glyma.05G178200.Wm82.a4.v1,0.9804093802076014
Glyma.07G114900.Wm82.a4.v1,0.9803943220832413
Glyma.05G178000.Wm82.a4.v1,0.9803792639588813
Glyma.11G192300.Wm82.a4.v1,0.9803290702110146
Glyma.12G218900.Wm82.a4.v1,0.9802186439657077
Glyma.03G142800.Wm82.a4.v1,0.9801132370951874
Glyma.12G074500.Wm82.a4.v1,0.9799977914750939
Glyma.05G139800.Wm82.a4.v1,0.9799701849137672
Glyma.11G067100.Wm82.a4.v1,0.9799576364768005
Glyma.15G082000.Wm82.a4.v1,0.9795761639930131
Glyma.17G214600.Wm82.a4.v1,0.979561105868653
Glyma.02G001500.Wm82.a4.v1,0.979546047744293
Glyma.15G185000.Wm82.a4.v1,0.9793302146284659
Glyma.05G197000.Wm82.a4.v1,0.979064187764772
Glyma.11G042200.Wm82.a4.v1,0.9790240327664786
Glyma.04G253300.Wm82.a4.v1,0.9789989358925453
Glyma.20G116100.Wm82.a4.v1,0.978878470897665
Glyma.03G137000.Wm82.a4.v1,0.9786300118457245
Glyma.17G075900.Wm82.a4.v1,0.9784166884172908
Glyma.12G236500.Wm82.a4.v1,0.9784066496677174
Glyma.06G138100.Wm82.a4.v1,0.9783715140442106
Glyma.13G333900.Wm82.a4.v1,0.9782912040476238
Glyma.11G178100.Wm82.a4.v1,0.9781707390527435
Glyma.01G238600.Wm82.a4.v1,0.9780452546830767
Glyma.17G154900.Wm82.a4.v1,0.97804023530829
Glyma.13G153400.Wm82.a4.v1,0.9779549059369165
Glyma.13G286300.Wm82.a4.v1,0.9777792278193829
Glyma.13G230600.Wm82.a4.v1,0.9777591503202361
Glyma.09G249400.Wm82.a4.v1,0.977498142831329
Glyma.17G023100.Wm82.a4.v1,0.9774529684582488
Glyma.03G245100.Wm82.a4.v1,0.9774479490834621
Glyma.03G246300.Wm82.a4.v1,0.9774077940851688
Glyma.15G040400.Wm82.a4.v1,0.9773124259642219
Glyma.20G104000.Wm82.a4.v1,0.9771518059710482
Glyma.18G284900.Wm82.a4.v1,0.9769660891039412
Glyma.20G218902.Wm82.a4.v1,0.9766799847411006
Glyma.20G175300.Wm82.a4.v1,0.9766649266167406
Glyma.08G245100.Wm82.a4.v1,0.9766046941193005
Glyma.16G136600.Wm82.a4.v1,0.9765846166201538
Glyma.01G198100.Wm82.a4.v1,0.9765545003714338
Glyma.04G188700.Wm82.a4.v1,0.976526893810107
Glyma.13G111500.Wm82.a4.v1,0.9764440741261269
Glyma.09G187300.Wm82.a4.v1,0.9763888610034734
Glyma.15G234700.Wm82.a4.v1,0.9763888610034734
Glyma.15G152900.Wm82.a4.v1,0.9763537253799667
Glyma.10G237800.Wm82.a4.v1,0.976208163511153
Glyma.17G133600.Wm82.a4.v1,0.9761027566406328
Glyma.07G032500.Wm82.a4.v1,0.9760073885196859
Glyma.06G089700.Wm82.a4.v1,0.9759722528961793
Glyma.11G106900.Wm82.a4.v1,0.9759220591483125
Glyma.17G214100.Wm82.a4.v1,0.9758919428995925
Glyma.19G026800.Wm82.a4.v1,0.9758166522777922
Glyma.11G030400.Wm82.a4.v1,0.9756635613467987
Glyma.18G237400.Wm82.a4.v1,0.975658541972012
Glyma.17G063200.Wm82.a4.v1,0.9754602766679382
Glyma.05G112100.Wm82.a4.v1,0.9754577669805449
Glyma.17G181000.Wm82.a4.v1,0.9754452185435782
Glyma.01G186000.Wm82.a4.v1,0.9754401991687915
Glyma.08G165500.Wm82.a4.v1,0.9754251410444315
Glyma.07G198500.Wm82.a4.v1,0.975369927921778
Glyma.19G139300.Wm82.a4.v1,0.9753498504226313
Glyma.07G043600.Wm82.a4.v1,0.9753347922982714
Glyma.20G066100.Wm82.a4.v1,0.9752645210512578
Glyma.09G227200.Wm82.a4.v1,0.9752494629268978
Glyma.11G246700.Wm82.a4.v1,0.9751239785572309
Glyma.07G049000.Wm82.a4.v1,0.9751039010580842
Glyma.12G206600.Wm82.a4.v1,0.9749633585640572
Glyma.07G035600.Wm82.a4.v1,0.9749181841909772
Glyma.11G063900.Wm82.a4.v1,0.9748654807557171
Glyma.11G151300.Wm82.a4.v1,0.9748378741943904
Glyma.01G050900.Wm82.a4.v1,0.9747726223221636
Glyma.08G089700.Wm82.a4.v1,0.9747450157608368
Glyma.17G243700.Wm82.a4.v1,0.9745116148332563
Glyma.06G097000.Wm82.a4.v1,0.974501576083683
Glyma.08G364600.Wm82.a4.v1,0.9743886401509828
Glyma.13G176300.Wm82.a4.v1,0.9742656654687092
Glyma.07G075100.Wm82.a4.v1,0.9742405685947758
Glyma.15G167400.Wm82.a4.v1,0.9742204910956291
Glyma.19G231600.Wm82.a4.v1,0.9742104523460557
Glyma.19G012900.Wm82.a4.v1,0.974160258598189
Glyma.18G116900.Wm82.a4.v1,0.9741100648503223
Glyma.01G193600.Wm82.a4.v1,0.9738942317344952
Glyma.11G099300.Wm82.a4.v1,0.9738540767362017
Glyma.10G281400.Wm82.a4.v1,0.973849057361415
Glyma.12G162300.Wm82.a4.v1,0.9737235729917482
Glyma.14G011600.Wm82.a4.v1,0.9736583211195213
Glyma.17G252600.Wm82.a4.v1,0.9735127592507077
Glyma.15G250500.Wm82.a4.v1,0.9734977011263477
Glyma.13G285600.Wm82.a4.v1,0.973492681751561
Glyma.18G243200.Wm82.a4.v1,0.973447507378481
Glyma.13G147000.Wm82.a4.v1,0.9734324492541209
Glyma.13G359500.Wm82.a4.v1,0.9734023330054008
Glyma.18G174600.Wm82.a4.v1,0.9733872748810408
Glyma.02G288600.Wm82.a4.v1,0.9732969261348806
Glyma.15G040300.Wm82.a4.v1,0.9731965386391471
Glyma.09G247900.Wm82.a4.v1,0.973181480514787
Glyma.13G177900.Wm82.a4.v1,0.973143835203887
Glyma.01G205400.Wm82.a4.v1,0.9730961511434135
Glyma.04G008300.Wm82.a4.v1,0.9729882345855
Glyma.06G236200.Wm82.a4.v1,0.97297317646114
Glyma.11G150400.Wm82.a4.v1,0.9729681570863533
Glyma.18G281600.Wm82.a4.v1,0.97296564739896
Glyma.02G205600.Wm82.a4.v1,0.9728752986527998
Glyma.16G026200.Wm82.a4.v1,0.9728351436545064
Glyma.10G056600.Wm82.a4.v1,0.9727698917822796
Glyma.01G183300.Wm82.a4.v1,0.9727548336579196
Glyma.06G055900.Wm82.a4.v1,0.9727196980344128
Glyma.11G140500.Wm82.a4.v1,0.9727096592848394
Glyma.08G045200.Wm82.a4.v1,0.9726644849117594
Glyma.11G228800.Wm82.a4.v1,0.9725440199168791
Glyma.05G079700.Wm82.a4.v1,0.9724988455437991
Glyma.12G065200.Wm82.a4.v1,0.9724285742967856
Glyma.06G190300.Wm82.a4.v1,0.9724135161724256
Glyma.15G014400.Wm82.a4.v1,0.9723256771136587
Glyma.12G169500.Wm82.a4.v1,0.9720621599373582
Glyma.18G049200.Wm82.a4.v1,0.9720069468147048
Glyma.12G169400.Wm82.a4.v1,0.971755978075371
Glyma.09G072100.Wm82.a4.v1,0.9717384102636175
Glyma.13G107500.Wm82.a4.v1,0.9716907262031441
Glyma.06G275400.Wm82.a4.v1,0.9716555905796374
Glyma.11G040400.Wm82.a4.v1,0.9716455518300641
Glyma.03G158200.Wm82.a4.v1,0.9716455518300641
Glyma.19G027400.Wm82.a4.v1,0.9715978677695907
Glyma.06G109300.Wm82.a4.v1,0.9715802999578372
