resolution,split_by,replicate,group,median,cv,mad_over_median,fano,detection,n_units
metacell,celltype_call,rep1A,Epidermal/Pavement,1.1169,0.7165,0.426,0.6851,0.8333,6.0
metacell,celltype_call,rep1A,Mesophyll,1.1825,0.8781,0.6032,1.107,0.8,90.0
metacell,celltype_call,rep1A,Vascular/Phloem parenchyma,1.1854,0.6568,0.3217,0.5526,1.0,4.0
metacell,celltype_call,rep2,Bundle sheath,1.2251,0.8009,0.5492,0.9222,0.8462,52.0
metacell,celltype_call,rep2,Companion cells,1.1131,0.7506,0.5128,0.7098,0.8889,54.0
metacell,celltype_call,rep2,Epidermal,1.2486,0.7306,0.4771,0.7567,0.8947,38.0
metacell,celltype_call,rep2,Guard cells,1.2561,0.6838,0.4219,0.6712,0.9091,11.0
metacell,celltype_call,rep2,Hydathode cells,1.0907,0.7185,0.4406,0.617,0.8571,7.0
metacell,celltype_call,rep2,Mesophyll,1.1368,0.8721,0.6187,1.0727,0.8282,291.0
metacell,celltype_call,rep2,Vascular/Phloem parenchyma,1.3166,0.6466,0.3904,0.5909,1.0,7.0
metacell,celltype_call,rep3,Bundle sheath,1.0024,0.7577,0.4455,0.7115,0.8571,7.0
metacell,celltype_call,rep3,Companion cells,0.9312,0.8341,0.5147,0.7089,0.8333,12.0
metacell,celltype_call,rep3,Epidermal,1.0969,0.7237,0.3964,0.6737,0.8,5.0
metacell,celltype_call,rep3,Epidermal/Pavement,0.9369,0.8617,0.5696,0.8131,0.8148,27.0
metacell,celltype_call,rep3,Mesophyll,1.1063,0.8928,0.5993,1.043,0.7959,196.0
metacell,treatment,rep1,Control,1.1625,0.8695,0.5866,0.9975,0.8261,184.0
metacell,treatment,rep1,Drought,1.1577,0.8817,0.5892,1.0442,0.8095,63.0
metacell,treatment,rep1,HD,1.0663,0.8828,0.6142,0.9354,0.8271,266.0
metacell,treatment,rep1,Heat,1.2207,0.8872,0.5923,1.106,0.8158,38.0
metacell,treatment,rep1A,Control,1.1636,0.862,0.5896,1.0291,0.8261,161.0
metacell,treatment,rep2,Control,1.2431,0.8382,0.5485,0.9496,0.8182,33.0
metacell,treatment,rep2,Drought,1.2111,0.7791,0.5003,0.7581,0.8686,137.0
metacell,treatment,rep2,HD,1.222,0.7844,0.5209,0.8117,0.8764,178.0
metacell,treatment,rep2,Heat,1.2238,0.8341,0.5848,0.9344,0.8333,114.0
metacell,treatment,rep3,Control,1.0441,0.8775,0.5871,0.9269,0.8108,74.0
metacell,treatment,rep3,Drought,1.1062,0.8488,0.5735,0.8998,0.8372,43.0
metacell,treatment,rep3,HD,1.0034,0.8535,0.5614,0.8467,0.8214,28.0
metacell,treatment,rep3,Heat,1.1273,0.8929,0.6202,1.0799,0.7981,104.0
