clustering,libraries,cluster,n_cells,median_cv,mean_cv,genes_used,silhouette_within_library,silhouette_global
celltype_call,leaf_HD_rep1,Bundle sheath,800,3.3995069247148986,4.102767907455092,1993,0.22398708622876243,0.15706246242161673
celltype_call,leaf_HD_rep1,Companion cells,296,3.1344734634391167,3.6965166843115447,1985,0.2855819825996306,0.24598791851963167
celltype_call,leaf_HD_rep1,Epidermal,497,3.100819838762371,3.6008789270031127,1994,0.3158260622228897,0.2164155897632181
celltype_call,leaf_HD_rep1,Guard cells,34,2.851670163713454,3.1417402346008245,1822,0.21959094966807213,0.22255317276341197
celltype_call,leaf_HD_rep1,Hydathode cells,42,2.9623164595921905,3.4027038090555135,1756,0.19914006911892151,0.21473866180468545
celltype_call,leaf_HD_rep1,Mesophyll,3768,3.028314711791591,3.6009633239571244,1996,0.23788884280952208,0.18989185746210271
celltype_call,leaf_HD_rep1,Unknown,19,2.6437973268005743,2.8180692603389033,1503,0.3210932981647742,0.2415472584862564
celltype_call,leaf_HD_rep1,Vascular/Phloem parenchyma,82,3.428574272305847,3.8592461969726592,1929,0.25147312216908674,0.197652285334169
celltype_call,leaf_HD_rep2,Bundle sheath,391,3.1284603458226576,3.513320155144972,1995,0.1606335497935125,0.14390036558385
celltype_call,leaf_HD_rep2,Companion cells,381,2.8284488841138633,3.1764918577526804,1995,0.279888200667653,0.26863144255249966
celltype_call,leaf_HD_rep2,Epidermal,238,2.576562268192968,2.8337365329681337,1994,0.20667052346799394,0.1380693669294694
celltype_call,leaf_HD_rep2,Guard cells,69,2.223347161302284,2.442371109233123,1986,0.2381267548805015,0.21668984407367592
celltype_call,leaf_HD_rep2,Hydathode cells,50,2.897185952510177,3.2129865401971855,1928,0.3581728732036184,0.2901250547676856
celltype_call,leaf_HD_rep2,Mesophyll,2453,2.964510017749874,3.327738048087195,1996,0.2857914038247637,0.20673772898545037
celltype_call,leaf_HD_rep2,Unknown,56,2.6530153564099805,3.0187520639031074,1920,0.43607014810832456,-0.02243309785510315
celltype_call,leaf_HD_rep2,Vascular/Phloem parenchyma,53,2.6900450579310125,2.9314874481859614,1971,0.25149658288293375,0.16765161532543538
celltype_call,leaf_HD_rep3,Bundle sheath,22,2.8702074648944946,3.0585105594358977,1651,0.24817036073520066,0.15989828516351576
celltype_call,leaf_HD_rep3,Companion cells,34,3.2894832923024273,3.520537082939323,1618,0.39366479979946495,0.2879111356778851
celltype_call,leaf_HD_rep3,Epidermal,1,,,0,0.0,0.16658013625801102
celltype_call,leaf_HD_rep3,Epidermal/Pavement,51,3.3349672327500004,3.6875188477504928,1866,-0.021722793888574912,0.19369994537863253
celltype_call,leaf_HD_rep3,Guard cells,13,2.6491300545867995,2.804539148156086,1381,0.574652355419935,0.3853129606121437
celltype_call,leaf_HD_rep3,Hydathode cells,7,2.6457513110645907,2.210965035410155,1184,0.25835828845323366,0.23552975390774308
celltype_call,leaf_HD_rep3,Mesophyll,547,3.3850715734190695,3.894654091601915,1975,0.44669442861357694,0.14086879704452487
celltype_call,leaf_HD_rep3,Unknown,16,2.770032276090916,2.9044432213049727,1210,0.5066834566134449,-0.05871137150904893
