celltype_call,replicate,treatment,metric,value,organelle_set,n_cells,total_umis
Bundle sheath,rep2,Control,median_gene,1.0,organelle,123,149023
Bundle sheath,rep2,Control,median_gene_per_cell,0.0081,organelle,123,149023
Bundle sheath,rep2,Control,pct_reads,28.1265,organelle,123,149023
Bundle sheath,rep2,Drought,total,8365.0,cp,245,473710
Bundle sheath,rep2,Drought,median_gene,22.0,cp,245,473710
Bundle sheath,rep2,Drought,median_gene_per_cell,0.0898,cp,245,473710
Bundle sheath,rep2,Drought,pct_reads,1.7658,cp,245,473710
Bundle sheath,rep2,Drought,total,709.0,ct,245,473710
Bundle sheath,rep2,Drought,median_gene,0.0,ct,245,473710
Bundle sheath,rep2,Drought,median_gene_per_cell,0.0,ct,245,473710
Bundle sheath,rep2,Drought,pct_reads,0.1497,ct,245,473710
Bundle sheath,rep2,Drought,total,207464.0,cr,245,473710
Bundle sheath,rep2,Drought,median_gene,2.5,cr,245,473710
Bundle sheath,rep2,Drought,median_gene_per_cell,0.0102,cr,245,473710
Bundle sheath,rep2,Drought,pct_reads,43.7956,cr,245,473710
Bundle sheath,rep2,Drought,total,216538.0,organelle,245,473710
Bundle sheath,rep2,Drought,median_gene,5.5,organelle,245,473710
Bundle sheath,rep2,Drought,median_gene_per_cell,0.0224,organelle,245,473710
Bundle sheath,rep2,Drought,pct_reads,45.7111,organelle,245,473710
Bundle sheath,rep2,HD,total,4321.0,cp,391,484934
Bundle sheath,rep2,HD,median_gene,11.0,cp,391,484934
Bundle sheath,rep2,HD,median_gene_per_cell,0.0281,cp,391,484934
Bundle sheath,rep2,HD,pct_reads,0.891,cp,391,484934
Bundle sheath,rep2,HD,total,413.0,ct,391,484934
Bundle sheath,rep2,HD,median_gene,0.0,ct,391,484934
Bundle sheath,rep2,HD,median_gene_per_cell,0.0,ct,391,484934
Bundle sheath,rep2,HD,pct_reads,0.0852,ct,391,484934
Bundle sheath,rep2,HD,total,77305.0,cr,391,484934
Bundle sheath,rep2,HD,median_gene,1.0,cr,391,484934
Bundle sheath,rep2,HD,median_gene_per_cell,0.0026,cr,391,484934
Bundle sheath,rep2,HD,pct_reads,15.9413,cr,391,484934
Bundle sheath,rep2,HD,total,82039.0,organelle,391,484934
Bundle sheath,rep2,HD,median_gene,3.0,organelle,391,484934
Bundle sheath,rep2,HD,median_gene_per_cell,0.0077,organelle,391,484934
Bundle sheath,rep2,HD,pct_reads,16.9176,organelle,391,484934
Bundle sheath,rep2,Heat,total,1398.0,cp,308,290965
Bundle sheath,rep2,Heat,median_gene,4.0,cp,308,290965
Bundle sheath,rep2,Heat,median_gene_per_cell,0.013,cp,308,290965
Bundle sheath,rep2,Heat,pct_reads,0.4805,cp,308,290965
Bundle sheath,rep2,Heat,total,117.0,ct,308,290965
Bundle sheath,rep2,Heat,median_gene,0.0,ct,308,290965
Bundle sheath,rep2,Heat,median_gene_per_cell,0.0,ct,308,290965
Bundle sheath,rep2,Heat,pct_reads,0.0402,ct,308,290965
Bundle sheath,rep2,Heat,total,38880.0,cr,308,290965
Bundle sheath,rep2,Heat,median_gene,0.0,cr,308,290965
Bundle sheath,rep2,Heat,median_gene_per_cell,0.0,cr,308,290965
Bundle sheath,rep2,Heat,pct_reads,13.3624,cr,308,290965
Bundle sheath,rep2,Heat,total,40395.0,organelle,308,290965
Bundle sheath,rep2,Heat,median_gene,1.0,organelle,308,290965
Bundle sheath,rep2,Heat,median_gene_per_cell,0.0032,organelle,308,290965
Bundle sheath,rep2,Heat,pct_reads,13.8831,organelle,308,290965
Bundle sheath,rep3,Control,total,172.0,cp,32,37203
Bundle sheath,rep3,Control,median_gene,1.0,cp,32,37203
Bundle sheath,rep3,Control,median_gene_per_cell,0.0312,cp,32,37203
Bundle sheath,rep3,Control,pct_reads,0.4623,cp,32,37203
Bundle sheath,rep3,Control,total,18.0,ct,32,37203
Bundle sheath,rep3,Control,median_gene,0.0,ct,32,37203
Bundle sheath,rep3,Control,median_gene_per_cell,0.0,ct,32,37203
Bundle sheath,rep3,Control,pct_reads,0.0484,ct,32,37203
Bundle sheath,rep3,Control,total,22.0,cr,32,37203
Bundle sheath,rep3,Control,median_gene,0.0,cr,32,37203
Bundle sheath,rep3,Control,median_gene_per_cell,0.0,cr,32,37203
Bundle sheath,rep3,Control,pct_reads,0.0591,cr,32,37203
Bundle sheath,rep3,Control,total,212.0,organelle,32,37203
Bundle sheath,rep3,Control,median_gene,0.0,organelle,32,37203
Bundle sheath,rep3,Control,median_gene_per_cell,0.0,organelle,32,37203
Bundle sheath,rep3,Control,pct_reads,0.5698,organelle,32,37203
Bundle sheath,rep3,Drought,total,175.0,cp,36,44020
Bundle sheath,rep3,Drought,median_gene,1.0,cp,36,44020
Bundle sheath,rep3,Drought,median_gene_per_cell,0.0278,cp,36,44020
Bundle sheath,rep3,Drought,pct_reads,0.3975,cp,36,44020
Bundle sheath,rep3,Drought,total,17.0,ct,36,44020
Bundle sheath,rep3,Drought,median_gene,0.0,ct,36,44020
Bundle sheath,rep3,Drought,median_gene_per_cell,0.0,ct,36,44020
Bundle sheath,rep3,Drought,pct_reads,0.0386,ct,36,44020
Bundle sheath,rep3,Drought,total,50.0,cr,36,44020
Bundle sheath,rep3,Drought,median_gene,0.0,cr,36,44020
Bundle sheath,rep3,Drought,median_gene_per_cell,0.0,cr,36,44020
Bundle sheath,rep3,Drought,pct_reads,0.1136,cr,36,44020
Bundle sheath,rep3,Drought,total,242.0,organelle,36,44020
Bundle sheath,rep3,Drought,median_gene,0.0,organelle,36,44020
Bundle sheath,rep3,Drought,median_gene_per_cell,0.0,organelle,36,44020
Bundle sheath,rep3,Drought,pct_reads,0.5498,organelle,36,44020
Bundle sheath,rep3,HD,total,91.0,cp,22,28439
Bundle sheath,rep3,HD,median_gene,0.0,cp,22,28439
Bundle sheath,rep3,HD,median_gene_per_cell,0.0,cp,22,28439
Bundle sheath,rep3,HD,pct_reads,0.32,cp,22,28439
Bundle sheath,rep3,HD,total,10.0,ct,22,28439
Bundle sheath,rep3,HD,median_gene,0.0,ct,22,28439
Bundle sheath,rep3,HD,median_gene_per_cell,0.0,ct,22,28439
Bundle sheath,rep3,HD,pct_reads,0.0352,ct,22,28439
Bundle sheath,rep3,HD,total,32.0,cr,22,28439
Bundle sheath,rep3,HD,median_gene,0.0,cr,22,28439
Bundle sheath,rep3,HD,median_gene_per_cell,0.0,cr,22,28439
Bundle sheath,rep3,HD,pct_reads,0.1125,cr,22,28439
Bundle sheath,rep3,HD,total,133.0,organelle,22,28439
Bundle sheath,rep3,HD,median_gene,0.0,organelle,22,28439
Bundle sheath,rep3,HD,median_gene_per_cell,0.0,organelle,22,28439
Bundle sheath,rep3,HD,pct_reads,0.4677,organelle,22,28439
Bundle sheath,rep3,Heat,total,616.0,cp,142,135905
Bundle sheath,rep3,Heat,median_gene,2.5,cp,142,135905
Bundle sheath,rep3,Heat,median_gene_per_cell,0.0176,cp,142,135905
Bundle sheath,rep3,Heat,pct_reads,0.4533,cp,142,135905
Bundle sheath,rep3,Heat,total,67.0,ct,142,135905
Bundle sheath,rep3,Heat,median_gene,0.0,ct,142,135905
Bundle sheath,rep3,Heat,median_gene_per_cell,0.0,ct,142,135905
Bundle sheath,rep3,Heat,pct_reads,0.0493,ct,142,135905
Bundle sheath,rep3,Heat,total,257.0,cr,142,135905
Bundle sheath,rep3,Heat,median_gene,0.0,cr,142,135905
Bundle sheath,rep3,Heat,median_gene_per_cell,0.0,cr,142,135905
Bundle sheath,rep3,Heat,pct_reads,0.1891,cr,142,135905
Bundle sheath,rep3,Heat,total,940.0,organelle,142,135905
Bundle sheath,rep3,Heat,median_gene,1.0,organelle,142,135905
Bundle sheath,rep3,Heat,median_gene_per_cell,0.007,organelle,142,135905
Bundle sheath,rep3,Heat,pct_reads,0.6917,organelle,142,135905
Companion cells,rep1,Control,total,5212.0,cp,264,470058
Companion cells,rep1,Control,median_gene,26.0,cp,264,470058
Companion cells,rep1,Control,median_gene_per_cell,0.0985,cp,264,470058
Companion cells,rep1,Control,pct_reads,1.1088,cp,264,470058
Companion cells,rep1,Control,total,507.0,ct,264,470058
Companion cells,rep1,Control,median_gene,0.0,ct,264,470058
Companion cells,rep1,Control,median_gene_per_cell,0.0,ct,264,470058
Companion cells,rep1,Control,pct_reads,0.1079,ct,264,470058
Companion cells,rep1,Control,total,58054.0,cr,264,470058
Companion cells,rep1,Control,median_gene,0.0,cr,264,470058
Companion cells,rep1,Control,median_gene_per_cell,0.0,cr,264,470058
Companion cells,rep1,Control,pct_reads,12.3504,cr,264,470058
Companion cells,rep1,Control,total,63773.0,organelle,264,470058
Companion cells,rep1,Control,median_gene,6.0,organelle,264,470058
Companion cells,rep1,Control,median_gene_per_cell,0.0227,organelle,264,470058
Companion cells,rep1,Control,pct_reads,13.567,organelle,264,470058
Companion cells,rep1,Drought,total,2086.0,cp,129,164937
Companion cells,rep1,Drought,median_gene,7.0,cp,129,164937
Companion cells,rep1,Drought,median_gene_per_cell,0.0543,cp,129,164937
Companion cells,rep1,Drought,pct_reads,1.2647,cp,129,164937
Companion cells,rep1,Drought,total,253.0,ct,129,164937
Companion cells,rep1,Drought,median_gene,0.0,ct,129,164937
Companion cells,rep1,Drought,median_gene_per_cell,0.0,ct,129,164937
Companion cells,rep1,Drought,pct_reads,0.1534,ct,129,164937
Companion cells,rep1,Drought,total,38154.0,cr,129,164937
Companion cells,rep1,Drought,median_gene,1.0,cr,129,164937
Companion cells,rep1,Drought,median_gene_per_cell,0.0078,cr,129,164937
Companion cells,rep1,Drought,pct_reads,23.1325,cr,129,164937
Companion cells,rep1,Drought,total,40493.0,organelle,129,164937
Companion cells,rep1,Drought,median_gene,2.0,organelle,129,164937
Companion cells,rep1,Drought,median_gene_per_cell,0.0155,organelle,129,164937
Companion cells,rep1,Drought,pct_reads,24.5506,organelle,129,164937
Companion cells,rep1,HD,total,4188.0,cp,296,440641
Companion cells,rep1,HD,median_gene,16.0,cp,296,440641
Companion cells,rep1,HD,median_gene_per_cell,0.0541,cp,296,440641
Companion cells,rep1,HD,pct_reads,0.9504,cp,296,440641
Companion cells,rep1,HD,total,654.0,ct,296,440641
Companion cells,rep1,HD,median_gene,0.0,ct,296,440641
Companion cells,rep1,HD,median_gene_per_cell,0.0,ct,296,440641
Companion cells,rep1,HD,pct_reads,0.1484,ct,296,440641
Companion cells,rep1,HD,total,39917.0,cr,296,440641
Companion cells,rep1,HD,median_gene,0.0,cr,296,440641
Companion cells,rep1,HD,median_gene_per_cell,0.0,cr,296,440641
Companion cells,rep1,HD,pct_reads,9.0588,cr,296,440641
Companion cells,rep1,HD,total,44759.0,organelle,296,440641
Companion cells,rep1,HD,median_gene,2.0,organelle,296,440641
Companion cells,rep1,HD,median_gene_per_cell,0.0068,organelle,296,440641
Companion cells,rep1,HD,pct_reads,10.1577,organelle,296,440641
Companion cells,rep1,Heat,total,828.0,cp,98,93702
Companion cells,rep1,Heat,median_gene,2.5,cp,98,93702
Companion cells,rep1,Heat,median_gene_per_cell,0.0255,cp,98,93702
Companion cells,rep1,Heat,pct_reads,0.8837,cp,98,93702
Companion cells,rep1,Heat,total,89.0,ct,98,93702
Companion cells,rep1,Heat,median_gene,0.0,ct,98,93702
Companion cells,rep1,Heat,median_gene_per_cell,0.0,ct,98,93702
Companion cells,rep1,Heat,pct_reads,0.095,ct,98,93702
Companion cells,rep1,Heat,total,9517.0,cr,98,93702
Companion cells,rep1,Heat,median_gene,0.0,cr,98,93702
Companion cells,rep1,Heat,median_gene_per_cell,0.0,cr,98,93702
Companion cells,rep1,Heat,pct_reads,10.1567,cr,98,93702
Companion cells,rep1,Heat,total,10434.0,organelle,98,93702
Companion cells,rep1,Heat,median_gene,0.5,organelle,98,93702
Companion cells,rep1,Heat,median_gene_per_cell,0.0051,organelle,98,93702
Companion cells,rep1,Heat,pct_reads,11.1353,organelle,98,93702
Companion cells,rep1A,Control,total,4540.0,cp,241,319244
Companion cells,rep1A,Control,median_gene,16.0,cp,241,319244
Companion cells,rep1A,Control,median_gene_per_cell,0.0664,cp,241,319244
Companion cells,rep1A,Control,pct_reads,1.4221,cp,241,319244
Companion cells,rep1A,Control,total,406.0,ct,241,319244
Companion cells,rep1A,Control,median_gene,0.0,ct,241,319244
Companion cells,rep1A,Control,median_gene_per_cell,0.0,ct,241,319244
Companion cells,rep1A,Control,pct_reads,0.1272,ct,241,319244
Companion cells,rep1A,Control,total,36898.0,cr,241,319244
Companion cells,rep1A,Control,median_gene,0.5,cr,241,319244
Companion cells,rep1A,Control,median_gene_per_cell,0.0021,cr,241,319244
Companion cells,rep1A,Control,pct_reads,11.5579,cr,241,319244
Companion cells,rep1A,Control,total,41844.0,organelle,241,319244
Companion cells,rep1A,Control,median_gene,3.0,organelle,241,319244
Companion cells,rep1A,Control,median_gene_per_cell,0.0124,organelle,241,319244
Companion cells,rep1A,Control,pct_reads,13.1072,organelle,241,319244
Companion cells,rep2,Control,total,1317.0,cp,132,172858
Companion cells,rep2,Control,median_gene,2.5,cp,132,172858
Companion cells,rep2,Control,median_gene_per_cell,0.0189,cp,132,172858
Companion cells,rep2,Control,pct_reads,0.7619,cp,132,172858
Companion cells,rep2,Control,total,81.0,ct,132,172858
Companion cells,rep2,Control,median_gene,0.0,ct,132,172858
Companion cells,rep2,Control,median_gene_per_cell,0.0,ct,132,172858
Companion cells,rep2,Control,pct_reads,0.0469,ct,132,172858
Companion cells,rep2,Control,total,40480.0,cr,132,172858
Companion cells,rep2,Control,median_gene,0.0,cr,132,172858
Companion cells,rep2,Control,median_gene_per_cell,0.0,cr,132,172858
Companion cells,rep2,Control,pct_reads,23.4181,cr,132,172858
Companion cells,rep2,Control,total,41878.0,organelle,132,172858
Companion cells,rep2,Control,median_gene,1.0,organelle,132,172858
Companion cells,rep2,Control,median_gene_per_cell,0.0076,organelle,132,172858
Companion cells,rep2,Control,pct_reads,24.2268,organelle,132,172858
Companion cells,rep2,Drought,total,14837.0,cp,406,1110347
Companion cells,rep2,Drought,median_gene,35.5,cp,406,1110347
Companion cells,rep2,Drought,median_gene_per_cell,0.0874,cp,406,1110347
Companion cells,rep2,Drought,pct_reads,1.3362,cp,406,1110347
Companion cells,rep2,Drought,total,1377.0,ct,406,1110347
Companion cells,rep2,Drought,median_gene,0.5,ct,406,1110347
Companion cells,rep2,Drought,median_gene_per_cell,0.0012,ct,406,1110347
Companion cells,rep2,Drought,pct_reads,0.124,ct,406,1110347
Companion cells,rep2,Drought,total,379739.0,cr,406,1110347
Companion cells,rep2,Drought,median_gene,5.5,cr,406,1110347
Companion cells,rep2,Drought,median_gene_per_cell,0.0135,cr,406,1110347
Companion cells,rep2,Drought,pct_reads,34.2,cr,406,1110347
Companion cells,rep2,Drought,total,395953.0,organelle,406,1110347
Companion cells,rep2,Drought,median_gene,11.5,organelle,406,1110347
Companion cells,rep2,Drought,median_gene_per_cell,0.0283,organelle,406,1110347
Companion cells,rep2,Drought,pct_reads,35.6603,organelle,406,1110347
Companion cells,rep2,HD,total,5167.0,cp,381,753331
Companion cells,rep2,HD,median_gene,13.5,cp,381,753331
Companion cells,rep2,HD,median_gene_per_cell,0.0354,cp,381,753331
Companion cells,rep2,HD,pct_reads,0.6859,cp,381,753331
Companion cells,rep2,HD,total,494.0,ct,381,753331
Companion cells,rep2,HD,median_gene,0.0,ct,381,753331
Companion cells,rep2,HD,median_gene_per_cell,0.0,ct,381,753331
Companion cells,rep2,HD,pct_reads,0.0656,ct,381,753331
Companion cells,rep2,HD,total,95255.0,cr,381,753331
Companion cells,rep2,HD,median_gene,0.0,cr,381,753331
Companion cells,rep2,HD,median_gene_per_cell,0.0,cr,381,753331
Companion cells,rep2,HD,pct_reads,12.6445,cr,381,753331
Companion cells,rep2,HD,total,100916.0,organelle,381,753331
Companion cells,rep2,HD,median_gene,4.0,organelle,381,753331
Companion cells,rep2,HD,median_gene_per_cell,0.0105,organelle,381,753331
Companion cells,rep2,HD,pct_reads,13.396,organelle,381,753331
Companion cells,rep2,Heat,total,1290.0,cp,232,267007
Companion cells,rep2,Heat,median_gene,3.0,cp,232,267007
Companion cells,rep2,Heat,median_gene_per_cell,0.0129,cp,232,267007
Companion cells,rep2,Heat,pct_reads,0.4831,cp,232,267007
Companion cells,rep2,Heat,total,101.0,ct,232,267007
Companion cells,rep2,Heat,median_gene,0.0,ct,232,267007
Companion cells,rep2,Heat,median_gene_per_cell,0.0,ct,232,267007
Companion cells,rep2,Heat,pct_reads,0.0378,ct,232,267007
Companion cells,rep2,Heat,total,34004.0,cr,232,267007
Companion cells,rep2,Heat,median_gene,0.0,cr,232,267007
Companion cells,rep2,Heat,median_gene_per_cell,0.0,cr,232,267007
Companion cells,rep2,Heat,pct_reads,12.7352,cr,232,267007
Companion cells,rep2,Heat,total,35395.0,organelle,232,267007
Companion cells,rep2,Heat,median_gene,1.0,organelle,232,267007
Companion cells,rep2,Heat,median_gene_per_cell,0.0043,organelle,232,267007
Companion cells,rep2,Heat,pct_reads,13.2562,organelle,232,267007
Companion cells,rep3,Control,total,545.0,cp,100,117548
Companion cells,rep3,Control,median_gene,2.0,cp,100,117548
Companion cells,rep3,Control,median_gene_per_cell,0.02,cp,100,117548
Companion cells,rep3,Control,pct_reads,0.4636,cp,100,117548
Companion cells,rep3,Control,total,59.0,ct,100,117548
Companion cells,rep3,Control,median_gene,0.0,ct,100,117548
Companion cells,rep3,Control,median_gene_per_cell,0.0,ct,100,117548
Companion cells,rep3,Control,pct_reads,0.0502,ct,100,117548
Companion cells,rep3,Control,total,85.0,cr,100,117548
Companion cells,rep3,Control,median_gene,0.0,cr,100,117548
Companion cells,rep3,Control,median_gene_per_cell,0.0,cr,100,117548
Companion cells,rep3,Control,pct_reads,0.0723,cr,100,117548
Companion cells,rep3,Control,total,689.0,organelle,100,117548
Companion cells,rep3,Control,median_gene,0.5,organelle,100,117548
Companion cells,rep3,Control,median_gene_per_cell,0.005,organelle,100,117548
Companion cells,rep3,Control,pct_reads,0.5861,organelle,100,117548
Companion cells,rep3,Drought,total,239.0,cp,55,65482
Companion cells,rep3,Drought,median_gene,1.0,cp,55,65482
Companion cells,rep3,Drought,median_gene_per_cell,0.0182,cp,55,65482
Companion cells,rep3,Drought,pct_reads,0.365,cp,55,65482
Companion cells,rep3,Drought,total,32.0,ct,55,65482
Companion cells,rep3,Drought,median_gene,0.0,ct,55,65482
Companion cells,rep3,Drought,median_gene_per_cell,0.0,ct,55,65482
Companion cells,rep3,Drought,pct_reads,0.0489,ct,55,65482
Companion cells,rep3,Drought,total,51.0,cr,55,65482
Companion cells,rep3,Drought,median_gene,0.0,cr,55,65482
Companion cells,rep3,Drought,median_gene_per_cell,0.0,cr,55,65482
Companion cells,rep3,Drought,pct_reads,0.0779,cr,55,65482
Companion cells,rep3,Drought,total,322.0,organelle,55,65482
Companion cells,rep3,Drought,median_gene,0.0,organelle,55,65482
Companion cells,rep3,Drought,median_gene_per_cell,0.0,organelle,55,65482
Companion cells,rep3,Drought,pct_reads,0.4917,organelle,55,65482
Companion cells,rep3,HD,total,197.0,cp,34,41010
Companion cells,rep3,HD,median_gene,1.0,cp,34,41010
