run_id,library,stage,n_cells_collaborator,n_cells_realigned,n_genes_collaborator,n_genes_realigned,n_cells_shared,n_genes_shared,cell_jaccard,gene_jaccard,total_umis_collaborator,total_umis_realigned,identical,n_differing_entries,frac_entries_differing,max_abs_diff,sum_abs_diff,shared_umis_collaborator,shared_umis_realigned,frac_umis_removed_shared_cells,per_cell_umi_pearson,per_gene_umi_pearson,per_gene_umi_spearman,median_per_cell_ratio,n_cells_cellbender,n_genes_cellbender,total_umis_cellbender,shared_umis_cellbender
Heat_3,leaf_Heat_rep3,cellranger_vs_cellbender,3919,,52996,,3918,52996,0.7335704924171503,1.0,2780733.0,,False,75528,0.032566402207657816,14.0,83154.0,2780307.0,,0.02990820797847149,0.999413848497,0.9849823015565558,0.999486856454459,0.972636815920398,5340.0,52996.0,2864467.0,2697153.0
Drought_1,leaf_drought_rep1,cellranger_filtered,22418,22418.0,52996,52996.0,22418,52996,1.0,1.0,9518515.0,9518515.0,True,0,0.0,0.0,0.0,9518515.0,9518515.0,0.0,1.0,1.0,0.9999999999999999,1.0,,,,
Drought_1,leaf_drought_rep1,cellranger_raw,356265,356265.0,52996,52996.0,356265,52996,1.0,1.0,13464621.0,13464621.0,True,0,0.0,0.0,0.0,13464621.0,13464621.0,0.0,1.0,1.0,0.9999999999999999,1.0,,,,
Drought_1,leaf_drought_rep1,cellranger_vs_cellbender,22418,,52996,,6307,52996,0.28133642608618076,1.0,9518515.0,,False,335941,0.15666186339111254,269.0,1688291.0,4798087.0,,0.35186752553673994,0.9790297940035977,0.9998262979057824,0.9975221068369362,0.5995449374288965,6307.0,52996.0,3109796.0,3109796.0
Drought_2,leaf_drought_rep2,cellranger_filtered,34984,39335.0,52996,52996.0,34979,52996,0.8891459074733096,1.0,35821920.0,24108332.0,False,2930008,0.3739795205289307,3435.0,13109464.0,35819356.0,22729820.0,0.36543190479278564,0.9985920513598281,0.9999993194653403,0.9937468553374162,0.625,,,,
Drought_2,leaf_drought_rep2,cellranger_raw,492106,398159.0,52996,52996.0,398086,52996,0.8088236190491671,1.0,53010100.0,33374560.0,False,4256335,0.3847504204938682,3435.0,19630016.0,52977904.0,33374532.0,0.3700292110443115,0.998462406257128,0.9999993426691306,0.9951047236638072,0.6480447053909302,,,,
Drought_2,leaf_drought_rep2,cellranger_vs_cellbender,34984,,52996,,8118,52996,0.23204893665675738,1.0,35821920.0,,False,977035,0.20633338436927495,827.0,7117335.0,15507858.0,,0.4589502302639088,0.993938180209365,0.9998663551563196,0.9899325894358203,0.42917861301742777,8118.0,52996.0,8390523.0,8390523.0
Drought_3,leaf_drought_rep3,cellranger_filtered,1813,1813.0,52996,52996.0,1813,52996,1.0,1.0,1351242.0,1351242.0,True,0,0.0,0.0,0.0,1351242.0,1351242.0,0.0,1.0,0.9999999999999999,0.9999999999999999,1.0,,,,
Drought_3,leaf_drought_rep3,cellranger_raw,322199,322199.0,52996,52996.0,322199,52996,1.0,1.0,3934045.0,3934045.0,True,0,0.0,0.0,0.0,3934045.0,3934045.0,0.0,1.0,1.0,0.9999999999999999,1.0,,,,
Drought_3,leaf_drought_rep3,cellranger_vs_cellbender,1813,,52996,,1813,52996,0.5442809966976884,1.0,1351242.0,,False,16293,0.014378032928369281,5.0,16855.0,1351242.0,,0.012473709372562425,0.9998699494129967,0.9965625975343126,0.9994706213484447,0.9897810218978103,3331.0,52996.0,1508286.0,1334387.0
HD_2,leaf_HD_rep2,cellranger_filtered,5204,4195.0,52996,52996.0,4180,52996,0.8009197164207703,1.0,7999662.0,5691927.0,False,1190124,0.2611869644853463,2220.0,1718028.0,7384533.0,5681619.0,0.23060548305511475,0.9996058580209919,0.9999360743253769,0.993459208655255,0.7599999904632568,,,,
HD_2,leaf_HD_rep2,cellranger_raw,468980,360116.0,52996,52996.0,360060,52996,0.7676596252739661,1.0,23244108.0,16425693.0,False,3597075,0.31967072380225514,2220.0,6830561.0,23223456.0,16425685.0,0.29271143674850464,0.998712867824574,0.999996603670179,0.9937636013003835,0.7103825211524963,,,,
HD_2,leaf_HD_rep2,cellranger_vs_cellbender,5204,,52996,,5204,52996,0.6314767625288193,1.0,7999662.0,,False,238640,0.048280356243641,144.0,896212.0,7999662.0,,0.11203123331960774,0.9996202381000572,0.9990017451744186,0.9991838210803211,0.8537469951008734,8241.0,52996.0,7806733.0,7103450.0
HD_3,leaf_HD_rep3,cellranger_filtered,1306,1306.0,52996,52996.0,1306,52996,1.0,1.0,1048679.0,1048679.0,True,0,0.0,0.0,0.0,1048679.0,1048679.0,0.0,1.0,0.9999999999999998,1.0,1.0,,,,
HD_3,leaf_HD_rep3,cellranger_raw,481477,481477.0,52996,52996.0,481477,52996,1.0,1.0,6035763.0,6035763.0,True,0,0.0,0.0,0.0,6035763.0,6035763.0,0.0,1.0,0.9999999999999998,1.0,1.0,,,,
HD_3,leaf_HD_rep3,cellranger_vs_cellbender,1306,,52996,,1306,52996,0.6954206602768903,1.0,1048679.0,,False,100280,0.11261519249471624,7.0,101875.0,1048679.0,,0.0971460284796396,0.9966969251982044,0.9950275324276491,0.9965265802892976,0.9079417319225938,1878.0,52996.0,997548.0,946804.0
