variant,method,batch_key,n_clusters,batch_purity_repblock,treatment_purity,ARI_vs_celltype_call,batch_purity_repblock_null,treatment_purity_null
unintegrated,none,-,22,0.8316024988785681,0.7283749630748024,0.11934341596554987,0.38210035679757587,0.27086235953844806
harmony_repblock,harmony,rep_block,20,0.5751676677498059,0.6510125709784356,0.1792956829285564,0.38210035679757587,0.27086235953844806
harmony_library,harmony,libraries,15,0.5196540519250337,0.4330390258312273,0.2596932482475265,0.38210035679757587,0.27086235953844806
combat_repblock,combat,rep_block,22,0.7771862452270764,0.7144112208837978,0.12373943520397998,0.38210035679757587,0.27086235953844806
combat_library,combat,libraries,20,0.6613669434688898,0.5588133609041476,0.14811161183175273,0.38210035679757587,0.27086235953844806
theirs,theirs,-,20,0.696156497193685,0.4400115972472949,0.1784935964815581,0.38210035679757587,0.27086235953844806
