GeneID,Means-CK,Means-H_24,log2Ratio (H_24/CK),Up-Down-Regulation (H_24/CK),Probability
GLYMA03G18990,2.536666667,18.70333333,2.882289554,Up,0.828965329
GLYMA01G25960,1.75,12.9,2.881944238,Up,0.807482307
GLYMA18G03930,8.346666667,61.20666667,2.874416739,Up,0.864017864
GLYMA14G36860,1.926666667,14.07666667,2.869126849,Up,0.812956313
GLYMA15G28440,5.123333333,37.40666667,2.868140748,Up,0.854105854
GLYMA07G32050,11.57333333,84.32666667,2.86518448,Up,0.868326368
GLYMA11G19890,2.273333333,16.53666667,2.862787313,Up,0.821979322
GLYMA08G42660,6.783333333,49.1,2.855656731,Up,0.85968836
GLYMA05G02210,3.483333333,25.02333333,2.844733541,Up,0.84027384
GLYMA12G35000,11.36,81.19333333,2.83739844,Up,0.867003367
GLYMA11G37930,3.166666667,22.61333333,2.836136751,Up,0.836150836
GLYMA02G08835,1.836666667,13.08666667,2.832935949,Up,0.806834807
GLYMA03G41600,1.776666667,12.64333333,2.831131934,Up,0.804573805
GLYMA19G30110,14.20333333,100.87,2.828195707,Up,0.868774369
GLYMA10G41670,2.406666667,17.02333333,2.822405317,Up,0.822276822
GLYMA09G29870,2.243333333,15.85,2.820766931,Up,0.818503819
GLYMA15G09370,1.966666667,13.85,2.816061617,Up,0.81013181
GLYMA15G40070,4.926666667,34.68333333,2.81555879,Up,0.85046235
GLYMA13G40900,3.593333333,25.28,2.814601786,Up,0.83971034
GLYMA0819S00210,24.34,170.26,2.806338462,Up,0.871633872
GLYMA18G07153,2.496666667,17.28333333,2.791306365,Up,0.817275317
GLYMA12G01820,8.42,58.24666667,2.790283351,Up,0.855862856
GLYMA13G12077,9.493333333,64.93333333,2.773972626,Up,0.856930357
GLYMA19G24250,10.76333333,73.51666667,2.771946414,Up,0.858788859
GLYMA19G39630,2.21,15.07666667,2.770199221,Up,0.809067809
GLYMA17G12270,5.276666667,35.93666667,2.767757842,Up,0.845061845
GLYMA05G29400,16.97,115.4366667,2.766043076,Up,0.863216363
GLYMA20G05556,22.35333333,151.7133333,2.762785995,Up,0.864616365
GLYMA02G06480,3.863333333,25.95666667,2.74818706,Up,0.834008834
GLYMA17G03890,2.373333333,15.89333333,2.743435089,Up,0.811199311
GLYMA09G39200,5.03,33.61666667,2.740546373,Up,0.842156842
