GeneID,Means-CK,Means-DH_24,"log2Ratio (DH_24/CK)","Up-Down-Regulation (DH_24/CK)",Probability
GLYMA15G42680,49.85666667,2.943333333,-4.082263588,Down,0.920497701
GLYMA09G05090,30.65666667,1.996666667,-3.940535432,Down,0.90557369
GLYMA20G26140,5.77,42.61333333,2.884661684,Up,0.868368959
GLYMA16G23140,3.303333333,27.49666667,3.057262274,Up,0.865852374
GLYMA06G03960,19.34666667,77.33333333,1.999005381,Up,0.824095328
GLYMA15G05740,51.60666667,12.4,-2.057217328,Down,0.821926222
GLYMA01G00730,65.25666667,12.92666667,-2.335774993,Down,0.846305851
GLYMA06G43290,13.14,1.55,-3.083625155,Down,0.832722614
GLYMA13G09820,57.40666667,4.923333333,-3.543510962,Down,0.903183461
GLYMA07G07760,210.12,43.78666667,-2.262649958,Down,0.84662876
GLYMA18G41410,3.413333333,19.42,2.508289986,Up,0.820732863
GLYMA09G05820,21.37333333,83.94333333,1.973603828,Up,0.818602366
GLYMA08G07340,0.186666667,61.65666667,8.367648759,Up,0.985676178
GLYMA06G43050,2.103333333,20.33333333,3.273097332,Up,0.863416517
GLYMA02G15571,0.723333333,8.953333333,3.629692357,Up,0.830181461
GLYMA20G02940,4.266666667,36.42666667,3.093813673,Up,0.874398933
GLYMA04G37140,107.2366667,8.746666667,-3.615921156,Down,0.914597592
GLYMA10G42270,42.81,4.136666667,-3.371407221,Down,0.891439402
GLYMA17G32100,92.39,17.28666667,-2.418077002,Down,0.854371556
GLYMA17G05290,3.743333333,19.79666667,2.402862105,Up,0.816945702
GLYMA19G43420,104.06,21.19666667,-2.295506299,Down,0.844779053
GLYMA18G04410,6.006666667,28.27666667,2.234975551,Up,0.817086097
GLYMA06G10520,0.443333333,14.40333333,5.02186708,Up,0.908293847
GLYMA14G05650,2.29,191.6966667,6.387333842,Up,0.985012811
GLYMA19G41090,49.91666667,1.513333333,-5.043719895,Down,0.950686182
GLYMA14G07570,0.883333333,14.22,4.008819701,Up,0.877206837
GLYMA08G24420,0.15,4.886666667,5.025816292,Up,0.814874873
GLYMA03G36840,162.9933333,36.04666667,-2.176875197,Down,0.840981363
GLYMA04G01020,2048.59,645.0866667,-1.667066373,Down,0.80118634
GLYMA13G01570,21.86,134.78,2.624241125,Up,0.870457337
GLYMA17G29590,27.78333333,6.733333333,-2.044826906,Down,0.80499456
GLYMA04G11005,24.23,2.983333333,-3.021797318,Down,0.860545435
GLYMA13G28390,125.3133333,25.82333333,-2.278792781,Down,0.845080903
GLYMA19G33300,1.53,10.65333333,2.79970135,Up,0.801253027
GLYMA02G38360,0.05,25.43666667,8.990765816,Up,0.966241971
GLYMA11G33590,4.456666667,21.14666667,2.246393306,Up,0.807304061
GLYMA06G20730,16.30666667,2.07,-2.97775923,Down,0.837801411
GLYMA04G03600,0.723333333,12.73333333,4.13780569,Up,0.874451581
GLYMA01G42390,45.39,317.78,2.807581936,Up,0.884423151
GLYMA18G43430,1.413333333,12.30666667,3.122266383,Up,0.829349619
GLYMA19G44430,35.20666667,7.85,-2.165084082,Down,0.820023867
GLYMA13G35100,8.95,278.57,4.960008406,Up,0.962349514
GLYMA20G25291,44.57333333,11.72333333,-1.92679802,Down,0.805163034
GLYMA17G02160,2.783333333,19.50666667,2.809081667,Up,0.841837773
GLYMA01G31300,272.5333333,40.64666667,-2.745223745,Down,0.877631533
GLYMA02G07940,0.423333333,16.29,5.266048702,Up,0.92024148
GLYMA08G14670,10.64333333,106.0766667,3.317085389,Up,0.903179952
GLYMA19G05760,17.78,2.956666667,-2.588211815,Down,0.825165842
GLYMA13G09781,8.34,0.62,-3.749707263,Down,0.829075849
GLYMA19G33381,9.89,43.25333333,2.128768893,Up,0.822680847
GLYMA0405S00200,1.026666667,21.41,4.38224504,Up,0.90819908
GLYMA08G18190,2.216666667,16.39333333,2.886645489,Up,0.835600716
GLYMA08G28190,5.953333333,55.87,3.230304241,Up,0.890267102
GLYMA13G36780,0.02,10.12666667,8.983943654,Up,0.919602682
GLYMA11G20000.14,0.01,4.333333333,8.759333407,Up,0.833845776
GLYMA09G08150,9.14,108.4033333,3.568071144,Up,0.910684076
GLYMA01G07100,17.46333333,85.75,2.29580771,Up,0.843045172
GLYMA14G08820,66.61666667,18.79666667,-1.825406325,Down,0.804559335
