GeneID,Means-CK,Means-DH_24,"log2Ratio (DH_24/CK)","Up-Down-Regulation (DH_24/CK)",Probability
GLYMA18G07970,1.553333333,70.42,5.502545868,Up,0.965490857
GLYMA07G30170,2.623333333,15.36,2.549705176,Up,0.810747254
GLYMA11G07516,34.5,3.59,-3.264540613,Down,0.880660559
GLYMA13G40470,12.45333333,46.92333333,1.913773549,Up,0.804731319
GLYMA05G18376,41.92333333,656.7833333,3.969592182,Up,0.932659436
GLYMA15G41940,18.96666667,4.076666667,-2.218004249,Down,0.800677407
GLYMA07G39470,3.56,22.14666667,2.637140426,Up,0.837145063
GLYMA10G26690,38.15666667,7.136666667,-2.418612849,Down,0.839851181
GLYMA09G28920,20.96333333,4.046666667,-2.373062214,Down,0.817924959
GLYMA11G09120,2.403333333,24.39,3.343181094,Up,0.875402759
GLYMA15G21400,0.21,4.89,4.541373232,Up,0.801554877
GLYMA18G49520,0.646666667,9.383333333,3.859006365,Up,0.842606437
GLYMA07G23480,30.26333333,3.496666667,-3.113518724,Down,0.869706223
GLYMA10G41260,7.483333333,52.51333333,2.810930831,Up,0.870752167
GLYMA06G45040,79.86,7.11,-3.489551607,Down,0.907065389
GLYMA10G00430,28.15,317.8266667,3.497033349,Up,0.914629181
GLYMA08G20810,0.916666667,12.87,3.811471031,Up,0.864539679
GLYMA07G08011,58.64666667,2.466666667,-4.571414436,Down,0.940016145
GLYMA02G04840,2.146666667,17.44666667,3.022781331,Up,0.846572602
GLYMA01G37720,2.873333333,24.62,3.099033488,Up,0.86304096
GLYMA06G15990,0.583333333,53.14,6.509333901,Up,0.974711312
GLYMA08G45590,4.773333333,221.1333333,5.533775614,Up,0.973763645
GLYMA13G17580,0.436666667,95.53333333,7.773327988,Up,0.989010565
GLYMA08G12570,1.466666667,14.5,3.305439972,Up,0.847327226
GLYMA04G04170,11.13,60.24666667,2.436427829,Up,0.84985083
GLYMA03G21720,224.4733333,36.64333333,-2.614921416,Down,0.872394791
GLYMA11G20050,0.043333333,4.953333333,6.836778682,Up,0.844031449
GLYMA08G07880,343.3066667,86.33,-1.99156398,Down,0.826997999
GLYMA20G36226,3.65,48.67666667,3.737262008,Up,0.909171317
GLYMA12G12240,61.57666667,1.64,-5.230616052,Down,0.957997262
GLYMA09G26080,2.386666667,79.4,5.056070015,Up,0.957421642
GLYMA04G10600,6.586666667,39.79,2.594785453,Up,0.853139588
GLYMA13G24930,6.826666667,38.29333333,2.487840034,Up,0.842771401
GLYMA12G31031,1.773333333,16.04333333,3.177438272,Up,0.850405391
GLYMA09G11235,2.05,20.25333333,3.304463554,Up,0.863823664
GLYMA18G04770,15.08,122.5033333,3.022112672,Up,0.890189885
GLYMA02G43510,2.083333333,16.61333333,2.995375973,Up,0.843648872
GLYMA03G28210,4.14,19.15333333,2.209892819,Up,0.800459794
GLYMA06G11190,5.736666667,56.71,3.30531856,Up,0.891923765
GLYMA14G24220,17.69666667,95.95333333,2.438855284,Up,0.855575445
GLYMA18G42850,1.25,10.61,3.085424656,Up,0.818146081
GLYMA13G06450,250.73,57.05666667,-2.135667256,Down,0.840430311
GLYMA18G52650,0.593333333,7.71,3.69981612,Up,0.821473448
GLYMA08G20650,31.05333333,5.753333333,-2.432278175,Down,0.834832052
GLYMA05G31960,4.226666667,24.05,2.508444649,Up,0.829683058
GLYMA09G12252,788.21,245.4233333,-1.683307635,Down,0.802098908
GLYMA19G42060,1704.223333,471.5866667,-1.853519575,Down,0.817921449
GLYMA10G01820,15.38333333,70.74666667,2.201294028,Up,0.835274297
GLYMA11G18570,0.166666667,102.5766667,9.265521286,Up,0.992036082
GLYMA18G39880,19.06,3.34,-2.512628111,Down,0.819788705
GLYMA01G05440,2.946666667,18.73666667,2.66870854,Up,0.830746552
GLYMA14G02980,5.593333333,0.333333333,-4.068670811,Down,0.800108806
GLYMA08G07330,0.106666667,16.41666667,7.265908009,Up,0.944428065
GLYMA11G13960,14.94666667,60.2,2.00993971,Up,0.821168088
GLYMA15G19510,30.97666667,1.83,-4.081266354,Down,0.909462637
GLYMA15G11530,5.39,73.48,3.768994448,Up,0.915875189
GLYMA13G29090,0.07,8.04,6.843696769,Up,0.894538626
GLYMA14G32430,0.516666667,111.03,7.747500016,Up,0.990144256
GLYMA08G18980,38.10666667,7.08,-2.42822215,Down,0.840289916
GLYMA13G29270,6.323333333,37.31333333,2.560934069,Up,0.845021235
GLYMA19G01860,43.16333333,143.72,1.735382653,Up,0.803688884
GLYMA05G27960,13.65,1.556666667,-3.132368997,Down,0.836162297
GLYMA13G17980,0.086666667,58.43333333,9.397098658,Up,0.986009617
GLYMA14G40400,40.92333333,173.4733333,2.083718339,Up,0.835291847
GLYMA18G40480,15.52666667,58.35333333,1.910066931,Up,0.808830859
GLYMA19G31960,2.97,22.28666667,2.907646018,Up,0.850061423
GLYMA19G29180,18.29666667,106.6066667,2.542644916,Up,0.860387491
GLYMA13G09755,36.37666667,5.006666667,-2.861091037,Down,0.864118494
GLYMA09G05700,13.10666667,1.113333333,-3.557343314,Down,0.853171177
GLYMA17G23821,1.17,13.89,3.569466164,Up,0.856730196
GLYMA15G09605,0.72,12.21666667,4.084709981,Up,0.868825243
GLYMA09G09865,7.803333333,0.786666667,-3.31026617,Down,0.802193675
GLYMA10G08871,0.376666667,9.526666667,4.660611239,Up,0.871752483
GLYMA07G16810,20.24,460.6333333,4.508337619,Up,0.950100032
GLYMA19G42010,1.4,18.66666667,3.736965594,Up,0.880309571
GLYMA0405S00330,0.01,34.12666667,11.73668379,Up,0.975788846
GLYMA04G37320,0.29,7.97,4.780454919,Up,0.860520866
GLYMA05G22180,46.20333333,12.24666667,-1.915607813,Down,0.805096346
GLYMA07G05320,1088.766667,233.14,-2.223426348,Down,0.847039416
GLYMA07G40100,12.33333333,0.816666667,-3.916671616,Down,0.865487347
GLYMA10G32000,0.636666667,50.97333333,6.323060657,Up,0.972240357
GLYMA10G02610,19.89333333,0.57,-5.125179305,Down,0.926622442
GLYMA06G20830,74.18666667,9.073333333,-3.031455353,Down,0.886104384
GLYMA01G44670,1.623333333,22.2,3.7735285,Up,0.887996209
GLYMA16G25860,587.05,177.9266667,-1.722200635,Down,0.805780773
GLYMA10G34460,18.90333333,0.856666667,-4.463762892,Down,0.90673897
GLYMA07G09980,39.65,10.04333333,-1.981082694,Down,0.806542417
GLYMA11G15200,0.806666667,16.54333333,4.358133502,Up,0.896584886
GLYMA08G42660,6.783333333,35.71666667,2.39653115,Up,0.837334597
GLYMA19G32920,0.146666667,180.1733333,10.26262876,Up,0.996026815
GLYMA13G02231,68.62666667,8.57,-3.001402172,Down,0.884321365
GLYMA14G06910,0.04,77.38333333,10.91780716,Up,0.99031273
GLYMA01G03090,6.99,30,2.10159814,Up,0.811403601
GLYMA05G32360,22.78,92.56666667,2.022725024,Up,0.827250711
GLYMA02G06650,210.3633333,29.77666667,-2.820629096,Down,0.883475483
GLYMA0859S50,0.376666667,10.05666667,4.738720019,Up,0.877543786
GLYMA16G01440,0.12,102.95,9.744693709,Up,0.992418659
GLYMA06G42520,2.273333333,17.00333333,2.902936456,Up,0.837646976
GLYMA13G23180,8.38,39.82,2.248471072,Up,0.827499912
GLYMA15G19970,17.61333333,73.79333333,2.06682252,Up,0.82814924
GLYMA17G12080,16.50333333,1.763333333,-3.226380322,Down,0.852753501
GLYMA04G08831,6.403333333,0.2,-5.000751208,Down,0.845323084
GLYMA19G01400,9.25,38.35,2.051701307,Up,0.814853813
GLYMA02G09210,236.7166667,16.40333333,-3.851100366,Down,0.92699098
GLYMA04G17591,97.90333333,21.71,-2.172998254,Down,0.8372293
GLYMA18G47361,10.53666667,47.19,2.163062637,Up,0.826166158
GLYMA13G43910,2.923333333,49.96333333,4.095183483,Up,0.923242427
GLYMA12G08930,771.7466667,132.22,-2.545186927,Down,0.867066793
GLYMA09G32790,3.23,17.40666667,2.430033887,Up,0.812158225
GLYMA18G07090,19.72333333,2.3,-3.100197628,Down,0.854136394
GLYMA20G04820,0.256666667,6.48,4.658025963,Up,0.837183672
GLYMA08G03850,8.676666667,143.6066667,4.048838009,Up,0.931511705
GLYMA10G07133,7.923333333,43.42,2.454180323,Up,0.844084097
GLYMA15G06100,34.81333333,185.39,2.412851565,Up,0.858218385
GLYMA04G08290,2.62,14.32333333,2.45072856,Up,0.802428837
GLYMA12G36200,228.2333333,12.32333333,-4.211045064,Down,0.939665157
GLYMA18G44300,3.45,26.05333333,2.9167997,Up,0.856049279
GLYMA12G30770,0.71,7.926666667,3.48082338,Up,0.81435541
GLYMA02G45170,14.37666667,1.736666667,-3.049336438,Down,0.837320557
GLYMA03G38080,1.64,11.31666667,2.786681354,Up,0.805398196
GLYMA20G26830,1.86,41.51333333,4.480200252,Up,0.931430978
GLYMA15G20970,119.6433333,17.13333333,-2.803862247,Down,0.875227265
GLYMA04G33610,207.8333333,22.88,-3.183268102,Down,0.900603699
GLYMA04G37040,7.746666667,185.6366667,4.582762224,Up,0.951360079
GLYMA09G41850,13.94666667,0.576666667,-4.596038909,Down,0.895486294
GLYMA06G14090,48.50333333,163.9766667,1.757334735,Up,0.806117721
GLYMA0892S50,22.22,2.85,-2.962824992,Down,0.85132498
GLYMA15G14170,0.166666667,4.673333333,4.809414444,Up,0.804327682
GLYMA14G10320,0.266666667,6.95,4.703903573,Up,0.846074199
GLYMA20G23200,0.4,10.91333333,4.769948011,Up,0.884946123
GLYMA02G13120,4.006666667,57.58666667,3.84526042,Up,0.915998034
GLYMA11G02040,1.103333333,17.05,3.949831118,Up,0.883710645
GLYMA18G46111,20.22666667,3.733333333,-2.437722353,Down,0.819732547
GLYMA05G23170,13.46333333,1.393333333,-3.272423299,Down,0.842546769
GLYMA09G24410,14.33666667,176.6033333,3.622731038,Up,0.917633639
GLYMA16G02570,4.603333333,0.096666667,-5.573516609,Down,0.819441227
GLYMA01G39320,2.29,18.60333333,3.022141642,Up,0.849629708
GLYMA07G30950,14.84,82.78666667,2.479907339,Up,0.855645642
GLYMA16G31930,8.98,43.65333333,2.281304471,Up,0.831325682
GLYMA02G12520,76.79,315.23,2.037414488,Up,0.834730266
GLYMA19G42160,13.25666667,1.84,-2.84894039,Down,0.822631708
GLYMA18G06076,50.42,5.05,-3.319640825,Down,0.893973536
GLYMA18G44820,3.563333333,29.84333333,3.066109333,Up,0.868425117
GLYMA06G15640,0.383333333,7.073333333,4.20571889,Up,0.831311642
GLYMA03G04960,0.05,38.45666667,9.587089908,Up,0.978087817
GLYMA06G18750,0.163333333,6.733333333,5.365429734,Up,0.858976519
GLYMA16G23850,13.01,2.196666667,-2.566233092,Down,0.801484679
GLYMA16G25350,24.25,5.636666667,-2.105070588,Down,0.804531255
GLYMA08G09290,1.83,14.37666667,2.973813662,Up,0.830757081
GLYMA08G14070,2.393333333,31.01333333,3.695795348,Up,0.898101155
GLYMA04G41490,4.6,41.5,3.17340557,Up,0.883454424
GLYMA13G40200,2.83,22.68333333,3.002758703,Up,0.857604156
GLYMA04G08410,95.79333333,736.1933333,2.942087524,Up,0.889112351
GLYMA04G38620,0.01,22.34,11.12541347,Up,0.962865466
GLYMA04G05720,2.22,51.51666667,4.536407667,Up,0.937678565
GLYMA08G26410,3.606666667,104.65,4.858762408,Up,0.955385911
GLYMA17G14750,8.453333333,89.10666667,3.397941129,Up,0.902993928
GLYMA18G15770,0.33,11.32,5.100264123,Up,0.895577551
GLYMA15G20240,0.41,10.01333333,4.610154592,Up,0.873777684
GLYMA17G15690,13.31,1.123333333,-3.566652575,Down,0.854217121
GLYMA16G33991,6.08,0.423333333,-3.844205327,Down,0.802119968
GLYMA15G01100,8.223333333,152.72,4.215021888,Up,0.938092731
GLYMA11G20010,34.52,2.78,-3.634275676,Down,0.897128918
GLYMA08G08850,3.21,16.99333333,2.40432367,Up,0.80968376
GLYMA11G37780,28.46,262.68,3.206298793,Up,0.901930434
GLYMA04G40790,0.16,16.55333333,6.692906045,Up,0.941163876
GLYMA01G02330,3.27,16.81333333,2.362243234,Up,0.807005721
GLYMA08G21300,1.95,13.27333333,2.766984691,Up,0.815443473
GLYMA08G21790,0.55,8.083333333,3.877446818,Up,0.830757081
GLYMA12G10670,0.62,9.743333333,3.974075303,Up,0.849299779
GLYMA16G31231,1.24,13.27333333,3.420118695,Up,0.84809238
GLYMA09G08330,12.06333333,140.9666667,3.546653548,Up,0.912189814
GLYMA01G02840,7.793333333,58.90666667,2.918118489,Up,0.875486996
GLYMA14G16704,157.06,44.4,-1.822684221,Down,0.811379032
GLYMA06G06900,34.92666667,6.3,-2.470905228,Down,0.839724825
GLYMA20G30140,2.23,22.15,3.312191084,Up,0.867487979
GLYMA14G38985,9701.713333,2704.04,-1.843123058,Down,0.817131726
GLYMA04G01181,0.736666667,90.51333333,6.940974554,Up,0.98474255
GLYMA07G04860,2.383333333,181.42,6.250208958,Up,0.983314029
GLYMA08G14270,13.12,0.34,-5.270089163,Down,0.908648345
GLYMA07G34480,0.35,12.72333333,5.183977954,Up,0.904917342
GLYMA17G37020,30.48333333,6.373333333,-2.257900647,Down,0.821171598
GLYMA04G10100,1.45,14.14333333,3.285997373,Up,0.84576182
GLYMA03G36080,66.68333333,1.85,-5.171729047,Down,0.958165737
GLYMA18G44310,37.29,3.243333333,-3.523239588,Down,0.894324524
GLYMA17G31330,60.22,10.04666667,-2.583525792,Down,0.86100874
GLYMA08G45240,37.04,6.813333333,-2.442651403,Down,0.840037205
GLYMA16G03190,4.33,23.81,2.459128691,Up,0.827229651
GLYMA07G32020,38.18333333,241.5266667,2.661167526,Up,0.874546348
GLYMA03G38260,164.57,13.12333333,-3.648495249,Down,0.917654698
GLYMA13G18960,4.64,24.97666667,2.42838424,Up,0.827738584
GLYMA09G04420,1.263333333,12.26666667,3.279436013,Up,0.83664315
GLYMA06G43470,9.14,0.213333333,-5.421012856,Down,0.88651855
GLYMA18G51320,583.68,109.71,-2.411482602,Down,0.860977151
GLYMA19G01810,84.13,20.08333333,-2.066621604,Down,0.829746236
GLYMA11G27050,0.093333333,10.58333333,6.825185954,Up,0.915962936
GLYMA13G41460,16.72666667,99.23333333,2.568674846,Up,0.860882384
GLYMA18G09516,65.68666667,6.496666667,-3.337828967,Down,0.898480222
GLYMA09G03780,0.77,18.81,4.610497593,Up,0.91056123
GLYMA14G06110,8.786666667,0.22,-5.319740536,Down,0.881973255
GLYMA02G37990,129.5066667,6.116666667,-4.404136899,Down,0.943603243
GLYMA16G28080,1.25,9.566666667,2.936088236,Up,0.801828648
GLYMA12G10580,2.27,32.76,3.851171154,Up,0.904071461
GLYMA09G31740,3.39,2796.576667,9.688160893,Up,0.999308554
GLYMA09G12050,0.45,23.81,5.725498809,Up,0.945561756
GLYMA12G06460,8.64,52.76333333,2.610432492,Up,0.859776772
GLYMA07G31510,2.336666667,14.76333333,2.659494648,Up,0.818311046
GLYMA02G03280,16.95666667,1.543333333,-3.457730996,Down,0.865722509
GLYMA07G38030,4.253333333,37.02666667,3.121898848,Up,0.875413288
GLYMA13G27230,3.363333333,22.65333333,2.751759678,Up,0.841620161
GLYMA08G16251,33.37,7.246666667,-2.203162247,Down,0.820273069
GLYMA02G03230,794.89,209.1533333,-1.926194238,Down,0.823681162
GLYMA09G07100,74.86666667,20.17666667,-1.891635672,Down,0.810929767
GLYMA09G37020,40.63333333,201.0666667,2.306938303,Up,0.848885613
GLYMA14G02220,10.08666667,41.35,2.035437843,Up,0.815857639
GLYMA13G23790,14.43333333,84.11333333,2.542929985,Up,0.858306132
GLYMA19G44645,5.18,0.12,-5.431845787,Down,0.831525745
GLYMA13G04670,16.17666667,0.403333333,-5.325797907,Down,0.921448879
GLYMA10G03021,24.59333333,5.073333333,-2.27726143,Down,0.814990699
GLYMA16G01610,0.01,6.776666667,9.404431999,Up,0.88620266
GLYMA17G05580,10.88,41.56666667,1.933748503,Up,0.803608157
GLYMA06G00445,0.47,6.316666667,3.748430781,Up,0.802221754
GLYMA19G28574,539.86,95.55333333,-2.49820722,Down,0.864704644
GLYMA02G46580,2.63,15.59333333,2.567794656,Up,0.812119617
GLYMA12G30410,3.183333333,16.22666667,2.34975653,Up,0.804545295
GLYMA10G33030,58.60666667,12.67,-2.20964826,Down,0.833094661
GLYMA11G06491,197.0366667,41.25666667,-2.255764958,Down,0.84633042
GLYMA15G21890,133.5433333,709.8266667,2.410158818,Up,0.861177214
GLYMA15G15730,16.71,1.136666667,-3.87783059,Down,0.879330315
GLYMA20G36520,6.266666667,64.02,3.352752516,Up,0.898262609
GLYMA14G26450,2.016666667,20.2,3.324310746,Up,0.867842477
GLYMA16G00410,65.71,258.2933333,1.97482556,Up,0.825141273
GLYMA07G06943,24.77,4.636666667,-2.417433949,Down,0.826924292
GLYMA11G10445,818.68,120.39,-2.765584089,Down,0.879934014
GLYMA10G01690,127.8333333,4.013333333,-4.993319281,Down,0.959176582
GLYMA17G11401,125.6133333,764.1033333,2.604778146,Up,0.874293637
GLYMA19G36550,0.096666667,20.78333333,7.74819285,Up,0.956726686
GLYMA01G31320,12.69333333,0.966666667,-3.714908673,Down,0.859678495
GLYMA07G32070,3.823333333,92.89333333,4.602672172,Up,0.947099084
GLYMA06G41380,30.38666667,6.083333333,-2.320504461,Down,0.829212734
GLYMA15G40110,20.65333333,90.84333333,2.137006001,Up,0.834793444
GLYMA07G06260,0.01,24.77666667,11.27476639,Up,0.966445544
GLYMA19G00620,11.99,1.856666667,-2.691044927,Down,0.806124741
GLYMA12G29471,40.83666667,9.943333333,-2.038063633,Down,0.815583869
GLYMA15G40761,9.043333333,270.5966667,4.903145616,Up,0.960064582
GLYMA01G45200,43.42333333,11.59,-1.90558991,Down,0.803036046
GLYMA11G32070,14.79666667,1.346666667,-3.457807511,Down,0.858716788
GLYMA12G36220,4.573333333,0.076666667,-5.89850281,Down,0.824404198
GLYMA16G08940,56.03666667,6.053333333,-3.210569438,Down,0.89002141
GLYMA06G13210,1.3,26.32,4.339575961,Up,0.915229371
GLYMA02G02790,20.73333333,0.686666667,-4.916198338,Down,0.923256467
GLYMA17G08090,45.41666667,1.866666667,-4.604685592,Down,0.937201221
GLYMA18G08210,29.93,6.343333333,-2.238279218,Down,0.819427188
GLYMA08G10250,1.236666667,11.81666667,3.256294536,Up,0.833912464
GLYMA14G38640,125.3366667,18.83666667,-2.734192937,Down,0.873539012
GLYMA05G25810,2902.513333,452.6433333,-2.680856083,Down,0.877687691
GLYMA18G50860,1.25,12.08666667,3.273416424,Up,0.835695483
GLYMA02G03890,1.09,12.59666667,3.530641978,Up,0.850303605
GLYMA07G38550,0.96,9.05,3.236811481,Up,0.813463901
GLYMA02G38210,0.893333333,12.84333333,3.84567728,Up,0.86482047
GLYMA04G40960,3.453333333,28.33,3.036269099,Up,0.86628058
GLYMA13G37320,7.876666667,62.00666667,2.976766207,Up,0.877845635
GLYMA20G01690,1.213333333,24.97666667,4.363533096,Up,0.91379032
GLYMA03G35260,3.68,38.92,3.402734039,Up,0.88973711
GLYMA12G36098,1531.513333,289.66,-2.40252555,Down,0.861268471
GLYMA17G04720,3.08,28.52666667,3.211308922,Up,0.874360324
GLYMA06G38410,6.29,82.64333333,3.715766523,Up,0.916566635
GLYMA09G05440,22.77666667,3.213333333,-2.825414075,Down,0.848773297
GLYMA11G01710,22.42666667,4.976666667,-2.17196354,Down,0.805141975
GLYMA15G16990,10.40333333,1.32,-2.978436022,Down,0.80939244
GLYMA01G03150,126.6166667,16.35666667,-2.952516645,Down,0.88444772
GLYMA06G43880,3.7,21.08666667,2.510733879,Up,0.82434453
GLYMA12G04340,2.963333333,16.62666667,2.488206141,Up,0.812354779
GLYMA06G09410,31.44333333,2.613333333,-3.588791108,Down,0.894156049
GLYMA08G07350,0.313333333,58.34333333,7.540725748,Up,0.982541855
GLYMA18G02210,64.89,1937.596667,4.900128312,Up,0.962219648
GLYMA10G23460,42.89333333,6.266666667,-2.774983274,Down,0.860808676
GLYMA08G26100,0.066666667,30.31333333,8.828771194,Up,0.971429574
GLYMA09G25470,19.92333333,156.6833333,2.975320779,Up,0.886269348
GLYMA04G06520,3.793333333,39.34,3.374458901,Up,0.889589695
GLYMA05G18393,17.06,230.0666667,3.753362421,Up,0.923151171
GLYMA03G35990,49.74333333,324.6833333,2.706458238,Up,0.876806711
GLYMA16G26070,3.513333333,25.89333333,2.881668334,Up,0.85483837
GLYMA18G02430,42.88666667,11.36,-1.916566353,Down,0.803450212
GLYMA09G01080,24.44666667,128.23,2.391024156,Up,0.855582465
GLYMA01G24530,0.446666667,45.36666667,6.666290256,Up,0.973265242
GLYMA10G35100,0.01,5.49,9.100662339,Up,0.86335334
GLYMA20G36000,1.15,9.413333333,3.033071822,Up,0.807447966
GLYMA03G38251,63.00333333,5.73,-3.458821116,Down,0.903566038
GLYMA07G07150,52.05333333,3.84,-3.760812336,Down,0.910592819
GLYMA15G11220,10.35333333,1.036666667,-3.320071344,Down,0.82932154
GLYMA07G06620,3.676666667,35.68,3.278645325,Up,0.88182935
GLYMA19G02370,64.39,18.52666667,-1.797233316,Down,0.801484679
GLYMA09G09220,86.56,5.88,-3.879812439,Down,0.921487487
GLYMA05G30870,13.35333333,81.46333333,2.608950928,Up,0.86598926
GLYMA13G28360,69.25333333,225.66,1.704195294,Up,0.802035731
GLYMA02G45690,1.136666667,41.01666667,5.173329108,Up,0.94954547
GLYMA03G39940,0.23,7.423333333,5.012361386,Up,0.860236566
GLYMA14G25450,11.49333333,1.706666667,-2.751544059,Down,0.805331508
GLYMA03G34230,3.073333333,18.82,2.614390473,Up,0.828668702
GLYMA18G10270,27.87666667,111.38,1.99836023,Up,0.827591169
GLYMA12G10235,5275.723333,1563.913333,-1.754208344,Down,0.809241515
GLYMA03G02940,8.496666667,115.6,3.76610062,Up,0.919876452
GLYMA15G11910,56.29333333,497.89,3.144791056,Up,0.897585202
GLYMA13G11830,0.01,22.07,11.10787091,Up,0.962405672
GLYMA01G35580,0.76,8.65,3.508628809,Up,0.822361447
GLYMA20G26420,8.476666667,47.39,2.4830137,Up,0.847102594
GLYMA08G06040,19.05333333,4.09,-2.219870667,Down,0.800849391
GLYMA12G29810,27.15333333,108.2133333,1.994677051,Up,0.822108736
GLYMA16G07081,122.1966667,12.59333333,-3.278472825,Down,0.899750798
GLYMA01G43880,22.21666667,1.93,-3.524969622,Down,0.878505493
GLYMA08G00940,4.086666667,35.99333333,3.138733238,Up,0.87506581
GLYMA05G31350,0.9,9.5,3.399930607,Up,0.824172546
GLYMA14G39800,18.02666667,892.2366667,5.629221881,Up,0.977877224
GLYMA19G44350,19.18666667,70.96,1.886901918,Up,0.810234811
GLYMA14G01130,1556.25,369.8533333,-2.073048654,Down,0.838345442
GLYMA05G28260,10.24,125.99,3.621021609,Up,0.915783932
GLYMA02G38611,26.49333333,5.68,-2.221666537,Down,0.81436243
GLYMA05G37751,7.88,0.25,-4.97819563,Down,0.864564248
GLYMA06G08070,1.253333333,28.85333333,4.524895932,Up,0.923947913
GLYMA09G08550,7.116666667,59.53333333,3.064424106,Up,0.883601839
GLYMA08G22540,0.283333333,12.18333333,5.426264755,Up,0.907991997
GLYMA19G31630,3.6,24.44333333,2.763372227,Up,0.844736934
GLYMA18G40100,162.2166667,44.04666667,-1.880817305,Down,0.816373592
GLYMA07G05370,10.24,0.27,-5.245112498,Down,0.892043101
GLYMA14G40170,5.283333333,22.42,2.085265938,Up,0.800182514
GLYMA03G41430,7.543333333,0.62,-3.604862058,Down,0.814994209
GLYMA03G20380,3.106666667,20.45333333,2.718896623,Up,0.836309712
GLYMA13G39280,2.443333333,33.35333333,3.770908349,Up,0.90087747
GLYMA15G38190,2.593333333,18.98666667,2.872107086,Up,0.842311607
GLYMA08G02840,31.00333333,176.8966667,2.512411622,Up,0.862223158
GLYMA14G35790,10.74333333,52.67333333,2.293631073,Up,0.835660384
GLYMA03G12080,0.01,7.573333333,9.564784619,Up,0.89677442
GLYMA13G08050,6.776666667,35.42,2.385916498,Up,0.836762486
GLYMA19G43110,0.973333333,16.15,4.052456391,Up,0.884349444
GLYMA11G17160,0.036666667,6.383333333,7.443697058,Up,0.876020498
GLYMA03G03670,8.9,63.17666667,2.827514578,Up,0.874248008
GLYMA18G13840,1.386666667,57.43666667,5.372279092,Up,0.96011372
GLYMA06G35680,3.323333333,18.36,2.46586315,Up,0.816370082
GLYMA07G34530,1.753333333,12.09,2.785642041,Up,0.809989119
GLYMA07G37280,60.77333333,5.223333333,-3.540395745,Down,0.904085501
GLYMA18G14750,1.346666667,13.74333333,3.351267263,Up,0.848875083
GLYMA02G12380,18.57333333,132.3,2.832508399,Up,0.881492401
GLYMA08G22370,0.386666667,7.473333333,4.272589568,Up,0.839043909
GLYMA03G14980,16.72,63.50666667,1.925333201,Up,0.811645783
GLYMA20G02110,19.18333333,69.57,1.858611893,Up,0.8076375
GLYMA20G31480,0.803333333,19.71,4.616785226,Up,0.912625039
GLYMA16G27950,0.123333333,12.19,6.626991546,Up,0.923983012
GLYMA11G07580,0.956666667,8.49,3.149676318,Up,0.802112948
GLYMA15G18930,0.156666667,7.19,5.520221609,Up,0.868586571
GLYMA18G03090,11.46666667,42.98666667,1.906443179,Up,0.802811414
GLYMA06G13100,28.60666667,163.3833333,2.513837517,Up,0.861833561
GLYMA02G10320,8.516666667,41.12,2.271479474,Up,0.829511074
GLYMA19G29955,718.3,218.4366667,-1.717371469,Down,0.805984346
GLYMA04G05861,51.73666667,11.42666667,-2.178782497,Down,0.829247833
GLYMA03G07841,18.49,1.956666667,-3.240275317,Down,0.858541294
GLYMA08G45150,1.043333333,13.58333333,3.702565497,Up,0.863539363
GLYMA07G03633,0.093333333,10.70333333,6.841452028,Up,0.916773718
GLYMA06G45950,1.843333333,54.36666667,4.882333491,Up,0.947822119
GLYMA02G47870,0.213333333,8.153333333,5.256208689,Up,0.874314696
GLYMA09G39200,5.03,58.04666667,3.528582917,Up,0.903190481
GLYMA07G12630,0.86,27.39,4.993168796,Up,0.934200274
GLYMA17G35430,35.70333333,162.45,2.185865065,Up,0.841511354
GLYMA17G04920,2.733333333,66.38333333,4.60208776,Up,0.943589204
GLYMA04G14361,35.66666667,9.23,-1.950173838,Down,0.801565407
GLYMA11G13920,2.73,24.16,3.145647598,Up,0.863381419
GLYMA18G32201,1817.373333,553.3,-1.715720986,Down,0.806377453
GLYMA19G31470,7.146666667,34.25666667,2.261042372,Up,0.824386648
GLYMA13G37720,33.68666667,3.436666667,-3.293095847,Down,0.88065705
GLYMA13G01580,23.29333333,94.68666667,2.023244179,Up,0.827457794
GLYMA17G03040,0.053333333,23.52333333,8.784839295,Up,0.963556913
GLYMA03G39010,0.356666667,7.043333333,4.303610066,Up,0.833631673
GLYMA06G41310,40.67666667,5.553333333,-2.872775559,Down,0.86715103
GLYMA13G09865,32.46333333,3.273333333,-3.309978714,Down,0.879891896
GLYMA06G05740,1.963333333,41.54,4.403124178,Up,0.92933558
GLYMA12G27340,10.26333333,48.93,2.253219916,Up,0.831989049
GLYMA16G18480,14.85666667,306.4,4.366233932,Up,0.945382752
GLYMA14G10290,18.57666667,2.773333333,-2.74379872,Down,0.832599768
GLYMA13G09700,80.97333333,9.28,-3.125250158,Down,0.889189569
GLYMA08G06790,5.253333333,23.86333333,2.183490545,Up,0.808346495
GLYMA05G32491,0.596666667,51.52666667,6.432250274,Up,0.973440736
GLYMA07G38710,4.573333333,22.33333333,2.287880614,Up,0.811754589
GLYMA11G13270,20.88666667,4.39,-2.250289424,Down,0.806788109
GLYMA05G02600,9.933333333,0.776666667,-3.676910471,Down,0.839103577
GLYMA10G39740,0.94,14.21666667,3.918778674,Up,0.873875961
GLYMA12G09010,22.65333333,124.53,2.458698081,Up,0.858323681
GLYMA02G17351,231.48,28.89,-3.00224544,Down,0.892822295
